Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Aruba,2021,Exports & Imports,2585,674,55.99,14.52,,1165378.18,166645.63,0,0.01,3.88,2.81,4937,16.39,82.74,0.12,0.75,274.5,0,6.17,110390.08,6837.84,8.58,3.11,222075,68.81,26.92,45.31,147.07,1684.22,0,85659.41,117227.92,0,12
 World,Afghanistan,2021,Exports & Imports,3096,1685,67.06,36.29,,7376496.54,1985086.66,0.01,0.03,3.84,2.07,23530,22.46,75.6,0.1,1.84,754.3,0,21760.51,1344863.96,650960.85,9.9,8.23,616159,69.06,23,17.59,190.33,3000,0,893101.17,1995824.81,0,42
 World,Angola,2021,Exports & Imports,3865,1579,83.71,34.01,,9452463.83,33482488.41,0.15,0.04,4.55,0.98,15438,14.24,83.63,0.19,1.94,294.84,0,328.76,34382028.32,150330.18,8.9,2.79,493445,66.78,25.48,19.78,227.64,3000,0,27400415.82,34532358.5,0,34
 World,Anguila,2021,Exports & Imports,1279,584,27.7,12.58,,231493.01,31355,0,0,5.91,5.69,2860,73.18,24.41,0.45,1.96,206.03,0,105.39,23925.04,1223.87,8.61,5.93,184269,67.62,25.74,45.14,382.73,3000,0,2085.59,25148.91,0,16
 World,Albania,2021,Exports & Imports,3841,2193,83.19,47.23,,6877893.4,3442926.08,0.02,0.03,2.21,2.61,54801,16.29,78.51,0.08,5.12,1412.4,0,94504.59,3832676.94,1920199.66,9.26,9.34,788397,69.47,24.11,7.4,85.05,3000,0,1699935.84,5752876.6,0,23
 World,Andorra,2021,Exports & Imports,2925,1301,63.35,28.02,,1566078.14,113221.02,0,0.01,5,1.39,16507,18.8,76.6,0.01,4.59,880.05,0,155.24,117356.28,44650.49,9.79,7.46,471323,68.69,23.28,20.72,208.61,3000,0,42752.23,162006.77,0,9
 World,United Arab Emirates,2021,Exports & Imports,4483,4456,97.1,95.97,,241125040.7,263031808.3,1.2,1.11,7.11,2.95,259858,63.5,31.71,0.8,3.99,1619.7,0,32514308.45,217011924.1,749137.28,8.62,4.8,1459880,67.97,25.78,2.47,32.65,3000,0,106092317.6,217761061.4,0,26
 World,Argentina,2021,Exports & Imports,4152,3631,89.93,78.2,,56271962.39,80647017.22,0.37,0.26,4.1,10.59,137325,45.64,40.4,1.13,12.84,2373.84,0,3479212.34,79105487.31,4066226.97,8.89,12.38,1247007,68.13,25.18,4.16,56.58,3000,0,20076946.91,83171714.28,0,73
 World,Armenia,2021,Exports & Imports,3700,2005,80.14,43.18,,4409654.25,3112138.93,0.01,0.02,1.42,1.2,38726,10.25,73.05,1.4,15.29,630,0,332518.19,1612167.99,1848116.75,10.06,7.44,723741,69.09,22.64,11.67,142.99,3000,0,601242.5,3460284.73,0,20
 World,American Samoa,2021,Exports & Imports,998,655,21.62,14.11,,152634.86,34698.96,0,0,6.29,2.73,4635,69.28,26.54,2.22,1.96,653.79,0,521.63,23156.89,3179.03,9.13,5.88,222320,69.97,23.49,36.94,276.79,1627.9,0,2391.09,26335.92,0,3
