Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
749253,49,205,372,0.915384615384615,1994,1.103371,68.0,1.248829,65.0,0.145458
684644,47,70,385,0.732876712328767,1992,-0.4602858,74.0,1.283769,73.0,1.7440548
223619,26,694,165,0.716666666666667,1971,-0.2861592,96.0,1.040281,113.0,1.3264402
1726879,76,990,434,0.928571428571429,2021,-0.03617432,56.0,-0.5299008,28.0,0.49372648
416339,36,310,850,0.787313432835821,1981,-1.985062,134.0,-0.3120577,134.0,1.6730043
1325872,66,150,696,0.924731182795699,2011,-0.3555005,65.0,-0.6887748,68.0,0.3332743
682961,47,42,590,0.838235294117647,1992,0.3988433,34.0,-0.213561,66.0,0.6124043
1746560,77,483,484,0.967741935483871,2022,-0.3575812,79.0,-0.4767289,64.0,0.1191477
1738244,77,344,955,0.75,2022,1.350856,88.0,-0.1081023,10.0,1.4589583
586419,43,165,355,0.943181818181818,1988,0.1315192,132.0,-0.3466797,133.0,0.4781989
629227,44,840,20,0.706140350877193,1989,-0.109968,116.0,1.566448,114.0,1.676416
1226822,63,434,350,0.75,2008,-0.427019,71.0,0.9730578,76.0,1.4000768
261334,28,850,140,0.795454545454545,1973,-0.06886268,91.0,1.128955,88.0,1.19781768
1063361,58,986,371,0.382352941176471,2003,2.59825,35.0,0.2965372,74.0,2.3017128
919606,54,600,670,0.981927710843373,1999,-0.8030485,64.0,-0.6447345,64.0,0.158314
667729,46,438,95,0.864406779661017,1991,-0.6906089,73.0,0.525211,61.0,1.2158199
1679985,75,652,212,0.597826086956522,2020,-1.897496,92.0,1.036872,96.0,2.934368
1745358,77,452,255,0.648148148148148,2022,-0.4500519,81.0,1.397135,88.0,1.8471869
1108631,60,230,663,0.732323232323232,2005,0.9492753,75.0,-0.9251606,73.0,1.8744359
1382743,67,626,955,0.87719298245614,2012,0.264269,44.0,0.2801635,64.0,0.0158945
1705129,76,375,530,0.668831168831169,2021,0.9339727,77.0,-0.7024122,77.0,1.6363849
1111971,60,350,344,0.98019801980198,2005,0.9919524,75.0,0.9933964,75.0,0.001444
592887,43,437,483,0.943181818181818,1988,0.3888104,134.0,-0.1784211,132.0,0.5672315
1637878,74,522,704,0.916666666666667,2019,-0.4352471,91.0,-0.3228971,84.0,0.11235
1763861,78,20,110,0.597701149425287,2023,1.436586,87.0,-0.1839844,87.0,1.6205704
561462,42,160,380,0.809859154929577,1987,-0.1892784,143.0,1.052096,142.0,1.2413744
1695728,76,135,367,0.636363636363636,2021,-0.2740181,77.0,1.20858,77.0,1.4825981
108841,19,165,625,1.0,1964,,,,,
421862,36,475,696,0.984848484848485,1981,-0.1496328,134.0,-0.3357041,132.0,0.1860713
1058426,58,771,94,0.872222222222222,2003,-0.9406496,74.0,0.06171504,76.0,1.00236464
1619551,74,90,360,0.604395604395604,2019,0.1056589,91.0,1.170355,91.0,1.0646961
446740,37,490,680,0.898648648648649,1982,0.2040038,155.0,-1.156332,151.0,1.3603358
1683478,75,712,380,0.776595744680851,2020,-0.5523356,94.0,0.8648265,96.0,1.4171621
1687888,75,910,369,0.747311827956989,2020,0.3010107,95.0,1.095445,94.0,0.7944343
1057765,58,740,531,0.769662921348315,2003,0.7737863,76.0,-0.6729686,73.0,1.4467549
513629,40,265,625,0.834459459459459,1985,-1.52518,151.0,-0.2361628,152.0,1.2890172
1652514,74,983,42,0.605633802816901,2019,1.020001,71.0,-0.3228656,91.0,1.3428666
1586166,73,205,435,0.752873563218391,2018,0.7140679,95.0,-0.7184029,87.0,1.4324708
1596678,73,436,221,0.683544303797468,2018,-0.7256211,80.0,1.05065,94.0,1.7762711
639784,45,370,666,0.397590361445783,1990,-0.1269708,84.0,2.289118,83.0,2.4160888
1231774,63,540,305,0.752808988764045,2008,-0.5776175,71.0,0.8075323,76.0,1.3851498
383279,34,740,517,0.730088495575221,1979,1.230897,122.0,0.01335909,113.0,1.21753791
1345988,66,640,483,0.776470588235294,2011,0.5362881,64.0,-0.5001023,63.0,1.0363904
155542,22,481,740,0.715686274509804,1967,0.0220362,51.0,0.9433832,57.0,0.921347
