Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2019,VNM,ARE,0.852149151850823
2014,DEU,IND,2.8062644065027462
2010,CHE,AUS,6.267008296255921
2011,SGP,USA,6.451966461028622
2024,ARE,FRA,1.7955800648644955
2011,IND,SGP,5.4991740741707575
2015,AUS,PHL,-0.5210259673960085
2022,KOR,THA,-0.7769136003179251
2006,CHE,THA,3.480911105892675
2011,ARE,CHE,6.678377521862483
2023,CHN,USA,-2.0165367784298622
2007,KOR,IND,4.93725500071287
2016,HKG,THA,1.668795232013625
2009,CHN,DEU,6.099160821082523
2013,IND,CHE,2.643009459654149
2012,KOR,NLD,4.306591531996554
2023,DEU,HKG,-1.6409664885867
2020,CHN,CHE,-1.4173826059817678
2023,MYS,AUS,-0.899023590802107
2013,FRA,CHE,2.42600614390837
2006,KOR,CHE,7.511612167455464
2008,AUS,NLD,5.6037501776201335
2023,SGP,THA,1.3755962233376684
2007,KOR,IDN,5.756796003685951
2006,ARE,THA,5.559553953567096
2006,FRA,THA,5.7077598903278925
2019,KOR,USA,-0.8943689866224439
2006,NLD,DEU,5.9492185351402815
2019,SGP,PHL,1.0703785098200878
2008,FRA,AUS,5.476744629601267
2013,DEU,CHE,2.6783178737747906
2021,DEU,PHL,0.3592769243053524
2024,IND,AUS,-0.2848564062324601
2016,DEU,THA,-0.7558857413257829
2021,SGP,PHL,1.3946800229800402
2010,DEU,MYS,5.202564717783705
2019,CHN,MYS,-0.2956819531460067
2023,IDN,THA,-0.3753442366222912
2021,DEU,FRA,-1.625690965240303
2016,CHN,VNM,-1.594527582002562
2008,NLD,IND,6.933553438714459
2023,NLD,ARE,-0.0617251525402968
2017,CHN,USA,-1.4111482784652514
2008,FRA,SGP,4.715894463205749
2007,JPN,VNM,6.138450543013549
2010,IDN,AUS,5.352441532381238
2019,DEU,CHE,0.2672766363705447
2016,HKG,CHN,0.1723801158510127
2016,KOR,JPN,-1.776871102421644
2024,THA,DEU,-0.3898074210144814
2022,CHN,DEU,-0.8591022233283003
2009,MYS,JPN,5.579049712876913
2015,IDN,CHN,0.0637774819570273
2006,USA,THA,5.158944616306193
2006,CHN,VNM,7.0155280409561716
2016,DEU,IDN,-0.2172712562855729
2020,HKG,USA,1.1358204284126538
2022,PHL,MYS,-0.4455450374907884
2022,VNM,ARE,5.209428561154544
2014,SGP,CHN,2.494230300451301
2020,USA,KOR,-1.422845665200694
2011,AUS,IDN,4.843506422169979
2010,CHN,ARE,5.826505817895113
2015,SGP,MYS,-0.5952713774523241
2011,DEU,ARE,6.462762518354026
2008,KOR,MYS,5.768384345679815
2008,IND,USA,5.847506917496516
2010,CHE,PHL,5.805735249037293
2023,THA,FRA,1.4017955280176744
2024,JPN,THA,0.8446269678491805
2007,ARE,PHL,5.3982434920637745
2013,THA,CHN,2.6419570987523
2019,ARE,THA,1.2247472833341746
2009,DEU,KOR,5.2842893826378345
2015,CHE,VNM,1.58815630180804
2010,JPN,FRA,5.872112218400775
2010,VNM,IDN,5.757200120483803
2013,VNM,SGP,3.3532839664409715
2008,ARE,CHE,6.760676768185763
2018,DEU,AUS,-0.6831333552199516
2011,HKG,FRA,7.43361408206581
2014,IDN,FRA,1.9637929528145517
2011,SGP,CHN,6.3450238646991854
2023,USA,IDN,-0.5097028374311563
2023,VNM,NLD,2.739826412218454
2023,FRA,SGP,2.370069283922391
2014,MYS,IND,2.0962311349762217
2024,MYS,CHE,-0.243860406860585
2011,NLD,IND,5.214519709020412
2012,JPN,KOR,5.023258605352032
2018,IDN,VNM,-0.2835927686047788
2014,THA,HKG,1.32458152298904
2012,KOR,USA,5.043153441711502
2017,IDN,DEU,0.3292180442531595
2016,NLD,CHE,-0.4282659634049365
2014,CHE,SGP,2.919047497088669
2013,JPN,DEU,2.721723883744617
2017,IDN,PHL,-1.8645168496647693
2022,ARE,PHL,2.8283670229074076
2018,IND,THA,0.1340556839950315
2009,ARE,JPN,6.434103252621826
2016,IDN,NLD,-1.2643212612606296
2012,NLD,FRA,5.501044807169588
2022,CHE,USA,-0.9752879385982288
2015,SGP,CHN,0.7899813004853001
2018,CHE,FRA,-1.2782222210040295
2011,NLD,KOR,4.541504031298026
2014,CHN,DEU,2.7166347700226225
2016,CHN,HKG,0.8376672580094748
2015,NLD,PHL,-0.7343054283795194
2015,THA,NLD,0.7050527292414585
2017,DEU,USA,-1.5338402274606822
2020,DEU,THA,-1.669803275860595
2017,KOR,HKG,0.2961378396609989
2021,CHE,IDN,0.1506573092672582
2013,CHE,CHN,3.2502556063441292
2014,AUS,USA,2.5847046927340736
2023,JPN,CHE,1.1284579078883556
2011,MYS,IND,6.100862969215878
2007,JPN,AUS,6.194832891689259
2010,SGP,ARE,6.53300548548299
2012,CHN,NLD,5.236756543399006
2008,VNM,SGP,5.705378401187533
2014,PHL,SGP,2.8680428710561463
2020,SGP,CHN,-1.7608936918554818
2016,CHE,CHN,-0.0150741645691472
2024,VNM,CHE,3.176588554573545
2014,AUS,DEU,2.475256461058685
2012,DEU,NLD,4.751803516384338
2020,SGP,AUS,-0.2163810285987043
2009,DEU,ARE,7.080993835581132
2006,USA,IND,6.010955975773547
2019,JPN,THA,0.0596128561087632
2008,FRA,THA,4.744272760542059
2007,DEU,MYS,5.335714552256309
2009,CHE,JPN,6.115142186480425
2024,FRA,IND,2.3135693514910547
2018,ARE,IDN,0.4709814885916565
2007,MYS,NLD,5.5947341265294845
2015,IND,AUS,0.3270200892172241
2021,CHE,FRA,-0.2267331130805155
2006,FRA,NLD,5.6847753250494675
2008,THA,IDN,5.2604162050935175
2013,THA,MYS,2.869910846013719
2022,JPN,THA,0.5963305907716903
2018,PHL,IDN,-0.5672031108197076
2006,AUS,PHL,4.810040227686604
2011,JPN,DEU,6.204066874751202
2007,VNM,FRA,5.117954856456192
2021,CHN,JPN,-1.4520160387597207
2006,NLD,CHE,6.764118701715619
2021,THA,NLD,-0.246488248856881
2006,VNM,CHN,6.20134653105638
2010,NLD,IDN,5.096935772628969
2018,JPN,HKG,2.959966454285454
2013,SGP,MYS,2.576267391199109
2024,KOR,HKG,2.303245310684355
2010,CHN,SGP,6.762178712713449
2016,CHN,CHE,0.3361193629156066
2022,IND,HKG,3.3387138734472734
2009,KOR,IDN,6.391915767304059
2023,DEU,JPN,-1.154164108880035
2020,USA,HKG,0.8512086826138963
2022,HKG,USA,1.0532376548679068
2016,JPN,CHE,-0.0130832925721984
2020,NLD,AUS,-2.1687087255669044
2018,USA,MYS,-2.023945945115205
2022,FRA,CHE,-0.4264153121845456
2023,NLD,CHN,-0.9207758088381454
2024,PHL,FRA,-0.1581662945845394
2010,USA,THA,5.310736694558867
2019,USA,THA,-1.3016240285785736
2017,NLD,USA,-0.6665378559456872
2012,IND,ARE,4.912983778424022
2011,MYS,JPN,5.651180082147033
2006,DEU,IDN,5.360827707818116
2009,PHL,FRA,5.149776517907108
2015,CHN,IND,0.3107262568402596
2008,IDN,USA,5.574602506504507
2024,MYS,THA,0.1005800233703125
2024,MYS,VNM,0.6674074441787325
2021,JPN,USA,-1.043109038796773
2015,THA,IND,-0.1464465103936776
2006,PHL,JPN,6.373812117355348
2017,NLD,AUS,-0.4868800448798434
2023,IND,CHN,-1.7101652862618193
2007,CHN,USA,6.081371822304418
2019,ARE,JPN,0.9111492585250636
2024,SGP,CHN,0.9209971059461588
2009,FRA,CHN,5.889668227780251
2020,AUS,IDN,-1.4314504440991231
2007,IDN,JPN,6.036503598315923
2014,CHE,USA,2.716772155360676
2013,FRA,SGP,3.0965977557634727
2013,JPN,NLD,2.8556191871558525
2013,JPN,CHN,2.1596099246296636
2021,MYS,CHE,0.8538119749986922
2010,MYS,JPN,5.902646339062828
2016,IND,HKG,1.5670506712307195
2023,CHN,JPN,-1.8398200363402033
2016,JPN,AUS,-0.4644178436512987
2014,THA,USA,2.3729354628897283
2018,DEU,KOR,0.575757766360621
2019,CHN,IDN,-0.7407163219784865
2012,THA,FRA,4.4798522578842315
2006,SGP,KOR,6.856420775699622
2008,IDN,VNM,5.880352605259723
2014,MYS,HKG,-0.7711012577759845
2009,USA,CHN,6.046170480015498
2010,IND,USA,5.491588266410252
2008,THA,SGP,4.83245698724805
2021,CHE,AUS,-0.5432966876664475
2019,CHN,CHE,-0.5695293731788381
2012,FRA,ARE,6.418910142628221
2019,AUS,IDN,-1.1616140575471192
2016,SGP,THA,-0.1224514032881702
2013,USA,FRA,2.7230610119503367
2012,DEU,CHE,5.272045807559883
2010,CHN,JPN,4.900034298058498
2018,PHL,MYS,-0.8436828885807764
2023,DEU,IND,1.3666971503813532
2006,MYS,USA,5.437345413259624
2021,DEU,IND,-0.319781747421698
2014,IDN,IND,2.914040599170411
2020,PHL,SGP,-0.7801088103700015
2023,VNM,CHN,0.930065237792862
2024,KOR,IND,2.0295054731862936
2019,SGP,IND,-0.7630857887931226
2021,MYS,KOR,0.639876695604679
2017,SGP,THA,0.9952119102903344
2009,PHL,CHN,5.514781517962446
2008,MYS,FRA,5.962325866444053
2008,CHE,THA,4.431763734120373
2020,JPN,CHN,-2.1683284710034045
2017,JPN,FRA,-0.177596806407235
2024,KOR,SGP,1.7615702355542573
2011,THA,VNM,6.082854841889581
2014,PHL,KOR,2.8503628241292733
2016,FRA,NLD,-1.824659827311376
2011,VNM,SGP,7.326361032396248
2007,USA,ARE,6.631272620947526
2010,KOR,AUS,5.872810397457254
2013,VNM,CHE,2.6999363610720972
2023,JPN,AUS,0.0346779549767683
2010,FRA,SGP,6.442500963447937
2008,IND,CHN,5.907400177221764
2022,CHN,NLD,-0.7697284073374772
2024,NLD,SGP,0.3258761834794561
2009,MYS,THA,5.396888936849792
2020,AUS,THA,-0.9702883585128778
2021,ARE,USA,-0.0190817298384795
2017,VNM,DEU,-0.1347163756234152
2024,DEU,IND,-0.0436397222842827
2008,THA,NLD,2.883095822016331
2012,NLD,IND,7.342530216149826
2013,USA,KOR,2.258777754671262
2016,NLD,THA,-0.8563032971840105
2024,JPN,SGP,1.624415187849906
2014,CHN,IND,2.570733593875797
2018,THA,VNM,0.4542704328654043
2022,ARE,AUS,0.4540625682737023
2015,JPN,NLD,-0.505461613567761
2009,THA,USA,5.458165218990084
2019,CHE,USA,-1.0125221730696263
2006,SGP,IND,6.347750233333175
2010,AUS,DEU,5.7127282754592725
2014,MYS,THA,2.3558356668465352
2010,FRA,IDN,4.722795271821978
2008,AUS,IND,5.4086641616094395
2015,HKG,MYS,-0.6685827775630799
2013,FRA,NLD,2.686542654932931
2006,CHE,SGP,7.3426963610118205
2013,KOR,JPN,2.1187047043455554
2006,PHL,VNM,7.01216280551466
2011,IDN,CHN,6.215539017326619
2007,DEU,THA,4.043312232288484
2010,ARE,DEU,6.479686359322933
2016,FRA,SGP,0.987878862400313
2009,JPN,USA,5.900802637928885
2007,PHL,ARE,3.759346392313897
2020,MYS,THA,-1.3538749585965268
2008,VNM,DEU,5.542276010805324
2023,VNM,ARE,3.0913826857644686
2007,FRA,NLD,5.693479799135254
2016,PHL,CHE,1.385897160202759
2018,IND,JPN,0.8356890984414171
2022,NLD,DEU,-0.9683413748674364
2015,SGP,PHL,0.5796134508460908
2006,JPN,FRA,5.547385343136325
2011,ARE,MYS,6.262948412471822
2016,THA,VNM,0.0117904086855516
