Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2019,IND,KOR,1.3745718903738884
2006,FRA,ARE,5.693974911068554
2017,NLD,VNM,1.4491290876583267
2008,JPN,VNM,6.660343381242432
2023,VNM,USA,0.2868377788320613
2021,MYS,FRA,-2.0299174312734083
2007,NLD,JPN,6.8893701496572834
2007,USA,CHN,6.011987156393187
2010,USA,CHE,6.041302822597556
2011,DEU,KOR,5.264570585017613
2016,CHE,DEU,-1.0208093672362952
2023,USA,DEU,-1.2877582447353604
2021,PHL,CHN,-1.6702554962453393
2023,SGP,AUS,1.3282542763757366
2018,DEU,SGP,1.0411600978859958
2006,MYS,DEU,5.4200009585318885
2017,CHN,CHE,0.5649289872210538
2009,NLD,DEU,4.5120077585228096
2018,SGP,CHE,1.052481728311041
2018,HKG,JPN,2.8574858234109506
2018,MYS,NLD,-1.564657511245678
2024,VNM,PHL,0.0217145722474717
2013,NLD,CHE,2.4269019952447226
2022,CHE,JPN,0.8795553135025256
2012,AUS,FRA,5.738534306469829
2013,IDN,VNM,2.583299878471371
2007,CHE,JPN,6.907475762559638
2022,MYS,DEU,-1.509212013430977
2007,CHE,PHL,7.2963643061734205
2018,IND,MYS,-1.2589928494162796
2008,DEU,ARE,7.296836150748637
2013,JPN,CHE,3.112092159077117
2021,AUS,CHN,-2.6448378512789974
2016,AUS,FRA,-1.1505959358452893
2011,VNM,KOR,6.900064843935041
2011,CHN,VNM,5.805207784472766
2019,SGP,NLD,1.45042841596108
2007,VNM,NLD,3.64583333333333
2020,SGP,MYS,-0.5645591841901078
2007,CHN,ARE,7.288888272047487
2010,THA,ARE,4.60719921357756
2015,PHL,CHN,-1.9755242327307905
2009,PHL,NLD,4.4914818592399
2022,MYS,SGP,-0.3955057460430668
2023,DEU,AUS,-0.5913697929983363
2017,SGP,ARE,0.535382586909848
2015,IDN,NLD,-1.1629302496987737
2023,PHL,SGP,1.3366050281759898
2007,AUS,IDN,5.458612298717308
2013,PHL,CHE,2.89865334486584
2019,CHE,SGP,1.227553302701966
2014,JPN,DEU,2.6417799116596523
2021,JPN,IND,0.4008137410292176
2023,USA,IND,-0.8401542129356385
2015,THA,CHE,-3.4309448633437576
2006,AUS,KOR,6.17850185338848
2022,IND,CHE,1.0135283107348978
2024,DEU,JPN,-1.2782744724370767
2012,ARE,SGP,6.016167630951058
2017,AUS,IDN,-1.6577509794245104
2016,FRA,USA,-1.4166150766914003
2018,KOR,USA,-0.692729084716349
2020,USA,NLD,-1.435290420293748
2016,THA,DEU,-0.955133450053224
2019,ARE,VNM,-0.3169442178108724
2007,AUS,FRA,5.008890266167346
2012,PHL,MYS,4.929476105139052
2013,MYS,IDN,2.2545530937778326
2023,NLD,IND,2.4104489712355153
2020,JPN,AUS,-0.450657232559212
2008,JPN,AUS,5.250517497640231
2022,CHN,HKG,-0.4327148498372457
2018,ARE,AUS,0.8710122188722474
2008,IND,FRA,6.21529114652165
2013,NLD,KOR,2.086442747311989
2019,IND,IDN,-0.6948121935506292
2014,USA,FRA,2.6450783505256408
2024,IDN,ARE,1.6011993566512697
2011,THA,HKG,5.2299485636345535
2009,PHL,ARE,5.776294099396309
2023,CHE,THA,0.872184856479506
2023,HKG,MYS,0.925925925925924
2018,SGP,THA,0.1451939397529971
2022,IDN,FRA,0.5081409594566338
2009,DEU,FRA,5.636233559227206
2007,SGP,IDN,5.317751968039956
2021,IND,VNM,2.331022835385712
2007,ARE,USA,6.800912709096692
2021,NLD,THA,0.7516881942389305
2018,FRA,AUS,-0.3807177583967819
2024,IND,VNM,1.7765022007292266
2008,JPN,MYS,6.323876003505777
2023,USA,THA,-0.5059991437762548
2017,AUS,CHN,-0.3484687333047068
2010,USA,VNM,6.115141487903434
2015,NLD,ARE,1.8448597642958984
2010,NLD,KOR,4.731793326746184
2020,CHN,IND,-2.85468443146523
2007,NLD,CHE,6.138795635983702
2012,CHN,CHE,5.993502760237873
2007,JPN,FRA,5.715491367353887
2007,USA,IDN,5.429135916176431
2011,JPN,KOR,5.393338694457796
2024,DEU,USA,-1.753159922183858
2021,HKG,USA,1.1484292637174265
2010,DEU,CHN,6.505084379768216
2018,IND,DEU,0.1458878134803068
2016,ARE,MYS,-1.1390677407767489
2011,AUS,NLD,5.918407687561285
2010,IND,KOR,6.062672906078445
2023,THA,USA,-0.4090202516142673
2011,MYS,DEU,6.1155159926744895
2019,FRA,AUS,-1.1963547237062049
2019,FRA,NLD,-0.6474564815726764
2024,JPN,USA,-0.5561985727572876
2015,AUS,IDN,-2.2815267705625843
2013,AUS,VNM,3.4224085113814917
2020,FRA,JPN,-1.1035904529035845
2006,THA,PHL,5.765746188383577
2016,VNM,FRA,0.7613214489793659
2017,IND,SGP,1.0703254400082425
2019,CHE,NLD,-2.0293358039442464
2023,ARE,NLD,1.8889401981860143
2024,IDN,DEU,2.220449253646076
2010,THA,SGP,5.719832277441982
2022,PHL,VNM,0.987828447730905
2024,CHE,IDN,2.4468231346620692
2016,CHE,USA,-0.7340240166793882
2009,VNM,PHL,4.24104007757746
2014,NLD,ARE,2.8897367793531616
2012,PHL,JPN,5.349529695992518
2009,THA,MYS,5.232063881185052
2022,IDN,KOR,1.3052837722710076
2020,CHE,DEU,-1.3567543125296648
2011,KOR,DEU,4.778417202845936
2013,PHL,THA,2.7591180422548893
2013,DEU,JPN,2.544386014722232
2013,KOR,THA,2.398691354207447
2008,FRA,USA,5.624133830737011
2010,PHL,VNM,6.060517685633119
2006,PHL,THA,5.30069808440768
2008,PHL,FRA,5.570900449306189
2009,CHN,SGP,7.346190632082882
2006,USA,DEU,5.6588728064188984
2017,MYS,SGP,-0.1434052346478778
2018,PHL,NLD,-2.841451395738357
2008,SGP,ARE,8.324337747594457
2018,CHE,SGP,1.598551481933072
2022,ARE,IND,0.1128617974853951
2015,JPN,VNM,0.7848931832119728
2022,SGP,IND,0.4376246900299866
2024,NLD,CHN,-1.1708459836626737
2007,JPN,SGP,6.598796689759163
2024,IDN,JPN,0.9883475229783232
2018,CHN,USA,-1.9142798589613743
2009,FRA,CHE,5.2288417594590415
2020,SGP,NLD,-0.7817993562909124
2010,FRA,KOR,5.463849512625242
2009,IND,USA,5.745329273107599
2009,USA,CHE,5.739751467794065
2015,SGP,THA,0.3356331795067404
2006,IDN,MYS,4.9124761159299
2012,USA,HKG,6.032973574478892
2006,AUS,USA,5.839475287163463
2012,JPN,USA,5.322493469108276
2011,FRA,HKG,7.94555238999683
2019,VNM,USA,-0.8810953332194735
2006,THA,NLD,6.893120483943162
2008,NLD,CHE,5.79186054733783
2019,NLD,FRA,-0.8621928321555208
2012,CHE,IDN,6.409338923831369
2011,HKG,PHL,14.1333333333333
2020,IND,HKG,1.64835164835165
2020,IND,ARE,-1.188982433278176
2012,AUS,NLD,5.397917602645166
2022,MYS,NLD,-4.19855831094384
2016,ARE,CHE,1.5526196108878778
2009,USA,FRA,5.569884155816751
2013,HKG,VNM,2.75229357798165
2013,VNM,AUS,3.0171900961192266
2010,IND,IDN,4.75542775302405
2023,KOR,THA,0.2421876226237117
2023,DEU,KOR,0.4266690459286043
2022,CHE,PHL,-0.6811994341557238
2011,JPN,ARE,6.244856359926209
2010,IDN,USA,5.803574249514572
2023,VNM,CHE,3.2491507797312456
2022,IND,CHN,-2.3231570163022552
2011,ARE,USA,6.231156124233289
2011,THA,AUS,4.33174028782989
2007,VNM,ARE,7.832069861998552
2019,KOR,FRA,-0.3567371018695779
2014,AUS,CHE,2.6188680487769473
2020,THA,DEU,-1.6434451960092815
2010,CHN,MYS,6.5407725934469045
2015,VNM,CHE,0.4142586802904505
2010,THA,KOR,5.232765161149868
2020,KOR,PHL,-0.8734584297171235
2015,VNM,IDN,0.5429725664724055
2024,THA,FRA,1.0568413601758193
2015,FRA,HKG,5.7426457884467075
2024,SGP,AUS,1.2971774593064878
2012,SGP,KOR,5.3770769061103625
2015,KOR,USA,-0.5798583901888503
2007,AUS,CHE,5.998639424471495
2009,USA,JPN,5.907911296933625
2022,ARE,DEU,0.6667070960590386
2012,THA,JPN,5.463331489558735
2007,NLD,FRA,5.655017392284435
2006,KOR,NLD,2.729800306097826
2006,DEU,AUS,5.69501276177554
2008,CHN,VNM,6.553521402890465
2006,USA,AUS,5.709418103546359
2013,ARE,FRA,3.0499649570854164
2012,MYS,NLD,5.538759426485361
2021,CHN,PHL,-1.2310749222114874
2012,THA,PHL,6.410996069823394
2011,NLD,JPN,5.300682956475035
2010,FRA,CHN,6.474948981978726
2024,AUS,USA,-0.6379875074888088
2021,IND,CHN,-2.1749662451221927
2008,IND,SGP,5.279800791683887
2011,FRA,THA,5.597928195239911
2009,USA,MYS,5.840603970535027
2007,IND,FRA,6.704646606430883
2009,CHE,IDN,5.9992911153236985
2021,DEU,VNM,0.6746011936044547
2014,FRA,NLD,2.677350043460668
2022,DEU,NLD,-1.158155816149551
2017,CHN,VNM,-0.9139828546398252
2016,PHL,IND,-0.4846169840532386
2010,CHN,DEU,6.390119751218169
2022,IDN,IND,-1.207903938581127
2021,ARE,CHE,3.3385244875110125
2006,KOR,DEU,4.476173764925388
2014,JPN,KOR,2.359991722425462
2021,IDN,NLD,-0.976926756877495
2019,MYS,KOR,0.875599565459724
2015,HKG,DEU,1.7548159078313992
2022,VNM,IDN,0.9926306668008276
2020,THA,MYS,-1.343879984356673
2008,MYS,USA,5.566197954286444
2023,VNM,FRA,2.370176554168265
2017,MYS,KOR,-3.300985154813067
2011,JPN,IDN,5.613781059404359
2009,SGP,THA,5.928096668208539
2014,ARE,NLD,2.8726448284564534
2015,ARE,PHL,-0.0495705035623006
2023,CHE,MYS,0.3451134716159692
2008,SGP,NLD,5.345184462560949
2017,KOR,IND,1.4654093705648437
2021,FRA,NLD,-1.244072845925002
2012,ARE,PHL,5.781921633471831
2017,DEU,FRA,-1.5602557329758733
2011,IND,CHN,5.568084633044836
2007,IND,THA,5.584411302094666
2013,SGP,DEU,3.609450400291956
2024,IND,HKG,2.7233492891563365
2010,NLD,JPN,5.7939206651841095
2010,CHE,IND,5.9271492204949645
2016,IDN,THA,-0.3464031158962309
