Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Burundi,2020,Exports & Imports,2450.0,362,53.09,7.8,,633379.4,164476.58,0.0,0.0,2.96,7.83,2587,16.35,75.45,0.0,8.19,100.0,0,0.0,78578.74,174589.75,10.33,7.19,207862,68.02,21.68,149.71,677.93,3000.0,0,166730.29,253168.49,0.0,43.0
 World,Belgium,2020,Exports & Imports,4536.0,4561,98.29,98.23,,354644374.4,330083522.8,1.9,2.06,6.35,4.76,240575,51.84,45.79,0.36,2.0,1545.16,0,7320658.7,76154197.77,488923.52,8.58,7.36,1454575,69.38,24.72,4.81,30.89,3000.0,0,16695364.61,76643121.29,0.0,52.0
 World,Benin,2020,Exports & Imports,2810.0,1073,60.89,23.11,,3712013.06,1116610.63,0.01,0.02,1.33,0.18,6765,6.46,93.36,0.01,0.16,274.5,0,11.26,457189.85,877024.43,9.64,7.07,418908,69.56,23.26,53.97,390.67,3000.0,0,491379.59,1334214.28,0.0,49.0
 World,Bonaire,2020,Exports & Imports,1843.0,426,39.94,9.18,,295889.42,33096.14,0.0,0.0,3.96,3.91,1068,65.54,28.56,1.69,4.21,30.0,0,1613.25,11143.66,3496.64,9.11,10.23,56265,68.44,27.0,47.94,192.6,1496.51,0,2229.5,14640.3,0.0,
 World,Burkina Faso,2020,Exports & Imports,2884.0,1133,62.49,24.4,,2794509.65,4205365.78,0.02,0.02,1.48,2.91,8768,6.65,92.03,0.05,1.28,754.3,0,1802.03,4081140.31,229111.03,9.56,5.63,442178,69.02,22.66,38.08,381.3,3000.0,0,3927290.36,4310251.34,0.0,42.0
 World,Bangladesh,2020,Exports & Imports,4143.0,2461,89.77,53.0,,50281328.39,41554446.98,0.24,0.29,2.76,7.63,82221,25.81,71.36,0.09,2.74,3000.0,0,543127.81,63953925.62,335341.92,9.69,14.36,844726,71.89,21.74,9.85,55.52,3000.0,0,51883180.68,64289267.53,0.0,55.0
 World,Bulgaria,2020,Exports & Imports,4437.0,4401,96.14,94.79,,33384930.05,31154203.51,0.18,0.19,3.95,4.6,87894,37.94,58.05,0.5,3.51,1494.23,0,661318.5,8210275.86,909031.7,8.91,7.89,1129899,69.94,23.84,11.11,68.75,3000.0,0,2317362.92,9119307.56,0.0,54.0
 World,Bahrain,2020,Exports & Imports,3893.0,2468,84.36,53.16,,12776171.06,11372539.53,0.07,0.07,5.03,2.99,33046,56.53,39.96,0.84,2.67,754.3,0,131609.36,10068540.17,789314.93,8.95,5.81,801195,70.36,23.69,20.61,123.81,3000.0,0,976200.67,10857855.09,0.0,31.0
 World,"Bahamas, The",2020,Exports & Imports,3155.0,856,68.36,18.44,,6757649.72,1350952.81,0.01,0.04,4.09,1.1,8602,15.68,82.49,0.31,1.51,123.62,0,11452.07,1141491.61,445316.01,8.86,5.01,347033,69.4,24.71,40.3,197.26,1545.16,0,169132.08,1586807.62,0.0,15.0
 World,Bosnia and Herzegovina,2020,Exports & Imports,4042.0,2806,87.58,60.44,,8374553.09,6251701.64,0.04,0.05,1.31,2.28,78106,12.97,82.95,0.19,3.89,754.3,0,351616.12,7954396.01,1760428.04,9.1,8.63,953348,69.71,23.6,10.9,70.71,3000.0,0,2573751.89,9714824.05,0.0,23.0
