,year,country_a_export,country_b_export,sector,value_export,value_import,composite_d
25614,2021,KOR,IDN,bec_7,235765231.3324189,225009209.4512022,0.7208547140371742
25615,2021,KOR,IDN,bec_8,191275056.6713647,297315891.95791173,0.7208547140371742
25616,2022,KOR,IDN,bec_1,569018468.0883509,715812451.8294603,0.6942661166882289
25617,2022,KOR,IDN,bec_2,4201320718.38929,5376414713.509628,0.6942661166882289
25618,2022,KOR,IDN,bec_3,957546616.0386972,1361511888.614988,0.6942661166882289
25619,2022,KOR,IDN,bec_4,723660472.4968903,903199425.263222,0.6942661166882289
25620,2022,KOR,IDN,bec_5,714281239.3447397,1087839202.2434914,0.6942661166882289
25621,2022,KOR,IDN,bec_6,468562858.2397689,879992463.0039771,0.6942661166882289
25622,2022,KOR,IDN,bec_7,210298710.19446743,283549784.911025,0.6942661166882289
25623,2022,KOR,IDN,bec_8,21552453.207795784,38193734.62420794,0.6942661166882289
25624,2023,KOR,IDN,bec_1,553401425.5206733,558357880.3490433,0.6320714428267031
25625,2023,KOR,IDN,bec_2,3314385945.3850174,3707355626.611112,0.6320714428267031
25626,2023,KOR,IDN,bec_3,914559524.2286488,1144441988.9393654,0.6320714428267031
25627,2023,KOR,IDN,bec_4,635686646.8486806,695162297.2647951,0.6320714428267031
25628,2023,KOR,IDN,bec_5,717479090.5439677,998317105.0064968,0.6320714428267031
25629,2023,KOR,IDN,bec_6,445018306.386181,758560668.6740979,0.6320714428267031
25630,2023,KOR,IDN,bec_7,253903211.3390667,319779406.3277361,0.6320714428267031
25631,2023,KOR,IDN,bec_8,11222937.747765671,24709698.82735241,0.6320714428267031
25632,2006,KOR,IND,bec_1,206692653.98033884,105792291.98057628,0.6259634165292465
25633,2006,KOR,IND,bec_2,1187333949.4356906,658211139.9565594,0.6259634165292465
25634,2006,KOR,IND,bec_3,745283329.6980542,341076838.3731513,0.6259634165292465
25635,2006,KOR,IND,bec_4,430003017.11165833,182083118.5706555,0.6259634165292465
25636,2006,KOR,IND,bec_5,1061803707.344492,503900016.2302601,0.6259634165292465
25637,2006,KOR,IND,bec_6,333851397.7326754,121899619.74322678,0.6259634165292465
25638,2006,KOR,IND,bec_7,79116567.74758404,47389915.354126334,0.6259634165292465
25639,2006,KOR,IND,bec_8,2152647792.949507,663636051.7914442,0.6259634165292465
25640,2007,KOR,IND,bec_1,327299219.92119765,144305305.67905656,0.6434005306732531
25641,2007,KOR,IND,bec_2,1323336994.7391994,784400373.7708209,0.6434005306732531
25642,2007,KOR,IND,bec_3,1023696734.3029996,551549413.7003541,0.6434005306732531
25643,2007,KOR,IND,bec_4,470960718.6514056,200555842.51653463,0.6434005306732531
25644,2007,KOR,IND,bec_5,1608331617.3159,687172299.1624459,0.6434005306732531
