year,country_a,country_b,un_dist,sector,value_export,value_import,D
2006,ARE,AUS,2.3681404,bec_1,0.0,190512627.64395136,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_2,0.0,770182583.4738568,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_3,0.0,124810234.81270038,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_4,0.0,149286368.8438181,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_5,0.0,249071360.2908656,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_6,0.0,8283353.251988979,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_7,0.0,24483476.44197191,0.6201511209525525
2006,ARE,AUS,2.3681404,bec_8,1060739200.0,95339019.24084663,0.6201511209525525
2007,ARE,AUS,2.0879495,bec_1,176471570.2949826,166887113.66860923,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_2,581254726.4064939,1273451701.3445268,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_3,113117877.39934371,251479943.31733665,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_4,650796446.9704305,674243229.963159,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_5,331161606.27172655,296582161.88237906,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_6,12749067.96032746,25838875.67644511,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_7,22536241.57397377,20163079.69892,0.5946513606853433
2007,ARE,AUS,2.0879495,bec_8,78381455.1227211,61903142.44862413,0.5946513606853433
2008,ARE,AUS,2.2883535,bec_1,218628205.101226,235592269.42697185,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_2,524228586.0609592,1404941780.1932075,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_3,142197392.40520146,266573238.51281577,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_4,792962797.485894,998690939.8003983,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_5,315263061.3444468,326328038.2781703,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_6,13605083.198957557,47126342.79130595,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_7,22318334.2862402,27866252.03874915,0.5887014900204594
2008,ARE,AUS,2.2883535,bec_8,77640828.11707471,93811954.9583814,0.5887014900204594
2009,ARE,AUS,2.2644506,bec_1,0.0,198376394.37874663,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_2,0.0,1006355495.3802232,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_3,0.0,147398832.55610654,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_4,0.0,104604579.74816965,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_5,0.0,101834415.60024668,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_6,0.0,28204529.894062564,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_7,0.0,26246515.32205316,0.5613905878773728
2009,ARE,AUS,2.2644506,bec_8,1814150272.0,120975781.12039162,0.5613905878773728
2010,ARE,AUS,2.276398,bec_1,0.0,252157354.1800539,0.5532409086384783
2010,ARE,AUS,2.276398,bec_2,0.0,1281309985.485245,0.5532409086384783
2010,ARE,AUS,2.276398,bec_3,0.0,78828842.03369905,0.5532409086384783
2010,ARE,AUS,2.276398,bec_4,0.0,31755977.474053588,0.5532409086384783
2010,ARE,AUS,2.276398,bec_5,0.0,194002209.5081163,0.5532409086384783
2010,ARE,AUS,2.276398,bec_6,0.0,33876709.48739101,0.5532409086384783
2010,ARE,AUS,2.276398,bec_7,0.0,24847853.71276394,0.5532409086384783
2010,ARE,AUS,2.276398,bec_8,2118919168.0,135903564.1186769,0.5532409086384783
2011,ARE,AUS,1.9712398,bec_1,0.0,201906761.82093093,0.531689385544545
2011,ARE,AUS,1.9712398,bec_2,0.0,1765291902.852645,0.531689385544545
2011,ARE,AUS,1.9712398,bec_3,0.0,57627632.55686536,0.531689385544545
2011,ARE,AUS,1.9712398,bec_4,0.0,23565240.0516252,0.531689385544545
2011,ARE,AUS,1.9712398,bec_5,0.0,135736964.80338034,0.531689385544545
2011,ARE,AUS,1.9712398,bec_6,0.0,27329745.35808188,0.531689385544545
2011,ARE,AUS,1.9712398,bec_7,0.0,15126276.344990091,0.531689385544545
2011,ARE,AUS,1.9712398,bec_8,4278932480.0,90308404.2114812,0.531689385544545
2012,ARE,AUS,2.372646,bec_1,662117413.0709896,319449814.0395526,0.586389071887357
2012,ARE,AUS,2.372646,bec_2,1066678871.9125272,1417747251.375802,0.586389071887357
2012,ARE,AUS,2.372646,bec_3,333927861.1049722,76593945.39406715,0.586389071887357
2012,ARE,AUS,2.372646,bec_4,187860534.17733005,33303856.780734774,0.586389071887357
2012,ARE,AUS,2.372646,bec_5,495205784.458279,167085406.85580528,0.586389071887357
2012,ARE,AUS,2.372646,bec_6,49293749.89552168,38346006.2354816,0.586389071887357
2012,ARE,AUS,2.372646,bec_7,85622436.83097878,22307408.383886755,0.586389071887357
2012,ARE,AUS,2.372646,bec_8,225955236.5494015,44763622.93466973,0.586389071887357
2013,ARE,AUS,2.2403293,bec_1,1219813467.001331,406750305.3203772,0.6752498650264925
2013,ARE,AUS,2.2403293,bec_2,1103206671.7406125,1599557949.6181014,0.6752498650264925
2013,ARE,AUS,2.2403293,bec_3,222420106.1858128,65625106.3550181,0.6752498650264925
