country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,tradeagreementindex,sentiment_index
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341684,-14.90717037026108,-16.42896357645044,0.1602375115901777,-1.0,-0.3319469648312037
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,-1.0,-0.2330152507831515
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399791,7.85641882346837,-5.477549034433626,-25.531220330447614,-1.0,-0.1546126472251077
AUS,CHN,2021,-4.321335209412025,28.19167250257624,27.4083382852216,58.11868310377921,54.12972876269626,13.331706566439047,4.540334743596786,-27.551385920536,-0.8367346938775511,-0.673960377492276
AUS,CHN,2021,-4.321335209412025,28.19167250257624,27.4083382852216,58.11868310377921,54.12972876269626,13.331706566439047,4.540334743596786,-27.551385920536,-0.8367346938775511,-0.673960377492276
AUS,CHN,2021,-4.321335209412025,28.19167250257624,27.4083382852216,58.11868310377921,54.12972876269626,13.331706566439047,4.540334743596786,-27.551385920536,-0.8367346938775511,-0.673960377492276
AUS,CHN,2021,-4.321335209412025,28.19167250257624,27.4083382852216,58.11868310377921,54.12972876269626,13.331706566439047,4.540334743596786,-27.551385920536,-0.8367346938775511,-0.673960377492276
