country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
DEU,HKG,2021,283329676.03195333,513643863.1165694,1433174567.5685017,288922121.34558266,820145349.2577102,816473261.8434594,793261941.8161992,515230467.0200245
DEU,HKG,2022,230464119.641746,430184126.9597997,1165245821.9118123,265559539.46020308,953711779.9579276,991954786.3666148,955290577.5819356,155511168.11996058
DEU,HKG,2023,274514804.9152217,397883544.7906603,1158665239.4122784,336262933.2407698,1161288368.224511,775159291.7471504,748430327.2908694,142364194.37853873
DEU,IDN,2021,355644381.0174331,297432450.0666437,509875309.9087309,481988742.317835,208880033.02779305,160214993.60593158,198933720.4438392,207150433.61179364
DEU,IDN,2022,351496785.7370119,278520083.3107228,608022468.6323649,565382076.9710122,204789127.38464388,151298488.55642334,239819315.56914103,65817765.83867996
DEU,IDN,2023,335132543.13274604,409240882.4878784,617991366.9043417,491497854.11065847,286025581.5609273,191259002.16232207,271829888.7274363,141247136.91368967
DEU,IND,2021,706221679.3110965,2173392159.997496,3163121490.0194125,1556836498.3235655,2671723721.562468,293829760.4784572,947960026.0434906,709910120.2640146
DEU,IND,2022,653593867.5300548,2139311662.7665124,3228118468.0781226,1538702132.5195968,2475676292.4384027,552571748.6684766,1145838869.899763,305684686.0990688
DEU,IND,2023,708100305.5601027,2423004267.273333,3422407715.6161275,1400727717.0220706,3098829551.988848,624242706.652699,1254084527.670532,423942984.2162858
DEU,JPN,2021,428377878.93041,2509394640.696808,3232802169.887245,418837613.33538735,5136121671.011806,2395126302.2857656,3006662184.4670825,1047600291.3854955
DEU,JPN,2022,423789280.1877984,2249014810.919557,2984108241.591736,425501456.1446544,4551005786.900167,2390985739.1065526,3307203372.230436,291659152.9190975
DEU,JPN,2023,403958728.66861343,2356995028.0163264,2964374338.2570925,443875179.56671536,4119915672.6315145,2520303227.3516726,3126985969.9724536,423901615.5356119
DEU,KOR,2021,476932586.4230195,2037831118.6364973,2475042540.733483,578509837.701628,7912776875.710815,1884103128.387704,2249812719.118874,1299061721.2879782
DEU,KOR,2022,436519918.4642813,2005793833.7133696,2315688590.637249,440293888.8115706,8177574694.86981,2024818642.102383,1744260465.6669135,255652589.73442185
DEU,KOR,2023,483708737.20160514,2124861614.7396035,2547420096.980979,335828337.61865073,6896687751.789304,1950311104.9556727,1793300806.3654425,377027662.3487426
DEU,MYS,2021,234266285.7770564,382211389.076796,944383587.5642474,148003682.57093984,348705577.0033477,1961605411.7795465,452258504.62034345,607386425.6077232
DEU,MYS,2022,253813314.5544457,474789605.6378882,1033676888.686024,75984632.114111,444708444.7774677,2141140101.0804408,547713428.6307014,66894608.51892071
DEU,MYS,2023,231021360.2625004,433605157.9417696,987430679.9553738,68046574.45878655,476777973.565706,2278383868.602072,511473700.4919309,85620620.72186033
DEU,NLD,2021,15552998179.78931,20647931016.675297,18144092868.780373,3350229798.5806623,12384937514.420704,6091904593.906645,12746476415.263784,10207906412.583204
DEU,NLD,2022,13715953072.219765,21051985874.15347,15581593311.750458,2823565140.25712,11546763459.10654,5840668539.492641,11968335022.74734,7103715164.272653
DEU,NLD,2023,14843815894.811852,19132504928.320904,15438701816.461515,2852953779.1546664,13308955616.077532,6256074918.654928,13039110617.820784,8284521148.697805
DEU,PHL,2021,135044835.51094088,97286745.30442844,320683391.0512019,30879982.26674266,128468324.5459478,842428141.9223073,142753738.50950402,120249912.88892686
DEU,PHL,2022,133946972.2051999,72616278.43896835,299532380.655227,29476441.6581262,138006382.2095548,752016155.8657403,153117475.8737691,16223721.093414417
DEU,PHL,2023,101960095.72845784,76610160.16631702,269193232.6630427,22575411.83768255,85516773.77716696,799329985.3378513,152941647.05059844,44793397.43888312
DEU,SGP,2021,171566031.8386691,1315868454.8798296,1467523032.153033,148303349.84385726,1161773535.2825384,927022016.5399244,1226431791.5260253,634034795.936123
DEU,SGP,2022,129294176.01943766,2280729530.555565,1023420110.3365456,96258614.31845295,792067187.3706821,824559897.4850016,927788379.923082,165329655.9912337
