country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,D
AUS,CHE,2007,288.5227193264959,279.0380966137381,204.20208910078784,1180.7975656544927,139.22992954071694,628.6423893617931,174.11212632838416,196.42927260412702,0.5585378666735297
AUS,CHE,2008,-66.678048580354,-71.44836595629876,-59.535397619893146,-92.55438780494927,50.167156044567676,-77.93957255819859,-57.31367785905337,-72.56495709793289,0.614562014682406
AUS,CHE,2009,34.140162250531404,15.791017297824483,6.515635890111948,-2.178485155670151,-54.487503278222846,-20.320758584846963,27.08667541160681,-7.967965892449036,0.5682571730725849
AUS,CHE,2010,-21.992682413493604,-3.367247553798025,-40.840393833462585,-21.99134813912409,-49.432988571118486,-8.78773308936256,-33.28516017016343,-10.515437125640625,0.5665946178635548
AUS,CHE,2011,113.99557031906431,52.42535524447043,74.8626919958394,492.16552605383254,145.8952865247602,43.96929506568566,86.93317638642266,69.88141457850871,0.5888585057606255
AUS,CHE,2012,-0.5059025018956831,-0.8750416389227578,-0.7575934093689396,4.7095344155188235,-36.46880739294357,-10.163334657271772,2.3656975202616115,6.117338932150984,0.5889392300175054
AUS,CHE,2013,17.938511746189747,-21.29686600016516,18.287672568238868,20.58533297137153,33.07452236484334,48.47176003575156,17.5440213750343,-45.51413549025066,0.6918763850980171
AUS,CHE,2014,-34.193442365589945,-33.9150125080803,-35.512867188310615,-60.93721727304797,-2.391539245877672,-66.01557342637344,-25.374383472054507,-4.113515040345195,0.7010847244128108
AUS,CHE,2015,0.18214261173044033,-8.439057546854634,-5.051617414191689,-10.430372332647075,-30.428051690012282,31.309488599462433,16.17961039494751,15.446979252594307,0.8017793563720496
AUS,CHE,2016,108.80990249098636,111.92272599976421,97.86662949959666,183.33417938879185,134.0111058483074,160.05285990126455,61.11123377198988,119.26553397234647,0.790714278021027
AUS,CHE,2017,-4.067092888875012,39.11977520910999,-1.649546576330052,13.906958201175957,109.92853363414143,-34.772105274985506,6.578770555313906,-74.33239539611468,0.794171478332151
AUS,CHE,2018,-20.135048721573355,-3.827479443131865,-22.149463713120177,-26.437328310165263,2.752558571933994,-31.111922177965965,-23.357118543950296,-27.954133668393023,0.8256897628893732
AUS,CHE,2019,10.49606545879671,-11.2512789483584,24.748922639376847,68.487428059641,87.72558212782309,17.030450703700062,42.91557461172329,37.40838176125039,0.8160171823197218
AUS,CHE,2020,40.40656087956205,25.582551972480093,26.94639129791112,76.47274880536756,-64.20751372963336,7.933553097408397,23.374358274255293,46.42833225521188,0.8251825594711798
AUS,CHN,2007,38.17646947411924,31.027839402569235,36.47753454409879,19.664468639728728,48.26379886365564,63.45236368116029,63.61518822724985,-17.673023991565184,0.560090851807933
AUS,CHN,2008,32.635805321813116,69.47604400334752,15.77471787581073,2.7888144822605376,9.620595864724702,14.443193664802267,12.62142186847235,26.025470730802635,0.5803233584466394
AUS,CHN,2009,11.38170801806664,46.0348270459227,11.621527827076616,7.62698142638969,25.763175160125584,10.956105153801388,17.59268338184643,12.899552666737456,0.582422502981632
AUS,CHN,2010,44.26905637840375,80.47753126613631,33.682832759051465,40.86219527391077,14.435718114330687,37.95995547701023,32.94076897831453,47.851452872756425,0.5850638292841053
AUS,CHN,2011,24.713346093552936,42.26236077326679,19.375627965972363,48.47656958089593,38.125875987277794,20.938424202353435,17.790069569587995,32.202022702853796,0.5629316628789224
AUS,CHN,2012,52.03777151550961,-8.042180639218422,3.511091852172332,38.38540072570478,13.12066746452707,-1.7497156427643157,17.9073592430802,-25.38581094275013,0.5931009472930636
AUS,CHN,2013,36.494627844349225,27.187646281692544,14.666696571738068,17.10508371535111,3.66149381437737,3.056682833996982,-2.214500364893124,-1.10417173284304,0.6998943271068745
AUS,CHN,2014,-13.682713276710123,-15.36750037019764,-6.1910196189290945,-18.80891163727052,-16.552141517661077,-5.77703904618414,-10.350456513332407,0.8267949050677181,0.699430064162466
AUS,CHN,2015,11.854604090173716,-41.07195014226407,-8.394600333657209,-10.639780452164537,-18.059719114227658,-14.466251306887523,-1.8084128069314143,-11.278137514706476,0.7450467332172847
AUS,CHN,2016,-7.102299633570186,11.072162497340887,-10.502058387243773,-33.32621012355366,-5.939372280820021,-4.84993467997743,8.70689828600797,1.5329986839461407,0.7735273227539715
AUS,CHN,2017,52.350561060152856,31.54652733818224,31.857736786862745,2.9084504978266645,16.32000262044617,24.393937845833257,14.935797283346908,1.7385593244265918,0.7729961025604729
AUS,CHN,2018,8.909905134802898,4.652262620320613,12.168026000580179,36.74495767331574,22.111872672355283,9.701976021506841,17.267173806036062,14.401139606956992,0.7921889032778192
AUS,CHN,2019,15.872036408291756,36.16977200441007,0.9927054811874392,-12.504543493813113,7.2536874243559035,1.4854344796656926,10.879269364832766,0.9269854968458002,0.8230706804785619
AUS,CHN,2020,-20.078819977462004,-4.2437733931685155,-2.113062995706849,-22.41361644325459,-6.64724046265407,-1.4777753971062846,-7.601918051654765,39.97846537603844,0.8773756138236954
AUS,DEU,2007,-0.297195776810244,3.568414637723305,14.627323236828339,-7.215528502710078,14.792276735604549,15.750915795380948,20.83388439101601,-32.08029113597299,0.592981146533192
AUS,DEU,2008,32.906100561109895,52.89152900145193,45.11059009459451,33.07532765131735,41.31913015725419,5.256471857982192,15.917876550172693,36.678701888333535,0.6166505967840517
AUS,DEU,2009,-17.356851833300425,-32.84977040436882,-31.889487963287365,-13.975965812605951,-22.664266544589395,-28.117742680641545,-13.097014776179849,-20.273838580066517,0.602918137689974
