country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,D
AUS,CHE,2021,-23.766764147953456,5.448308724935069,8.488117639987225,-36.855390346448246,-14.908055863341685,-14.907170370261081,-16.42896357645044,0.16023751159017774,0.8098910191564053
AUS,CHE,2022,2.618457878664593,-17.84923216712896,-14.550657455817884,14.567208024842282,46.54509114948804,25.38953279671139,13.099457744021636,-60.37118687593761,0.7817378541520235
AUS,CHE,2023,-3.783156391763687,35.488550995315784,-15.75932585473463,-15.143085273202662,10.226057710399793,7.85641882346837,-5.477549034433626,-25.531220330447614,0.7594266928021793
AUS,CHN,2021,-4.321335209412025,28.19167250257624,27.4083382852216,58.11868310377921,54.12972876269626,13.331706566439049,4.540334743596786,-27.551385920536,0.8607576698156508
AUS,CHN,2022,6.152286617582514,-29.032194322922944,24.834469263081218,-8.142686792559806,12.808187647351899,28.14908065724977,21.300828156825744,-97.78984567216614,0.8258841596548891
AUS,CHN,2023,5.8039175216654915,19.785302758399204,4.766403439699229,-7.806758071376385,16.236503350891063,-10.682028124516464,-24.64186406535506,19.61907909566458,0.8024558179318962
AUS,DEU,2021,30.045061486815072,-6.133204619696009,7.473015080270096,-49.91340625963196,2.8561932851828953,11.108111999315762,-19.38161279766736,10.173752548646986,0.8379204687015123
AUS,DEU,2022,49.58513310059425,50.74146056115645,14.626257119280206,36.042150821734566,21.86154884326832,15.677623573557465,41.960862786617234,-87.91837409307144,0.8217204406954505
AUS,DEU,2023,-53.58432619187887,-39.476261001205884,-39.51287430351069,-49.25228042760842,-21.658185312741473,-30.749818199022737,-43.71817741743903,35.22555391229743,0.8217352577382248
AUS,FRA,2021,42.2440911057171,27.891725252607635,13.301861425853634,-10.329738340869632,18.234867989601145,5.0090822147790925,-23.383036395223645,-22.86070159920254,0.8422009321486635
AUS,FRA,2022,72.23066702445036,112.44688848351969,31.37595900556349,-30.288277755388826,44.775477804946576,34.61077531093002,48.3497777052112,-85.86300910414896,0.8181746738055978
AUS,FRA,2023,-40.48670914042744,-30.984850847116775,-30.294751533469487,-30.066736708564445,-8.740396672073757,-22.731590518712952,-20.689660220133742,0.6654491823723019,0.7980150652179392
AUS,HKG,2021,77.73673980614466,-75.83401894958286,162.92533803406695,124.0834096785878,6.764236835066595,84.37954030357622,45.31817270600713,77.69483930527524,0.8607576698156508
AUS,HKG,2022,-56.80810410776538,-75.56435126598674,-39.764961451313006,-2.1414308703767593,-29.991784428005207,-34.40436548118216,-48.927088670233246,-97.387229488065,0.8258841596548891
AUS,HKG,2023,35.62209127754494,-27.567486375195593,-4.204178673880232,24.46582369446235,26.381444334745673,14.010167469387213,3.4896352993497137,-37.10759660694885,0.8024558179318962
AUS,IDN,2021,136.2068557778034,94.44006177125969,102.06649756305835,71.6507788077489,70.0178503327715,109.9194644036098,40.457945505105464,-25.887660976100968,0.7067029789575796
AUS,IDN,2022,7.083457973162965,2.8623852923316484,0.8804326347113811,32.7105606049535,12.461370952097939,36.481142113953105,20.91244095316389,-84.87765690591822,0.7001336431795289
AUS,IDN,2023,-20.924602575218852,-2.669512215293024,-11.001168899729564,-11.5642154085977,-14.015204233703981,-36.887331912872746,-25.448372665011952,31.171144155741736,0.6848344760591994
AUS,IND,2021,18.826963263539987,93.13282504567599,38.003495428524545,195.08516478747123,29.830408185248135,-25.254523981350406,23.157035273862412,-75.81335475901824,0.811419252016792
AUS,IND,2022,41.22691545543846,41.92599772223045,21.814155574610304,-12.104025870073409,33.70053290966186,39.77441684875544,22.06342245010888,-76.84324688467035,0.7371158577506738
AUS,IND,2023,35.82724073137105,-32.687681383657065,-3.413418780727284,19.959828697157533,-10.211122319319522,39.51016751862857,-12.978516601492485,-12.383553537815429,0.7274169806979018
AUS,JPN,2021,22.184356944769057,89.24519013313001,47.44170941266211,-51.27966119003189,42.2665148932738,22.353035131792765,47.63596948350588,-94.77030901557659,0.6704461184323276
AUS,JPN,2022,21.002087074701393,95.58329765223867,2.502403818131782,11.599947041317993,1.008910418079334,8.653396459467588,3.0758643862585533,-88.30605952571577,0.6702057825096865
AUS,JPN,2023,-16.91447195718403,-38.975938801969356,-16.849303294388275,-17.250202276168135,6.776541435172501,-11.2058456009271,1.9274969956991184,3.1296525516605778,0.6581952630653314
AUS,KOR,2021,29.129422003441306,90.53987865636569,-7.139800403734142,328.8569622933666,42.02344604493942,-2.1117751799447637,53.06021850851177,-75.10218022762687,0.7396217059612997
AUS,KOR,2022,13.91483469862429,33.63216290779212,17.31395155675479,-29.678792645830587,16.61639952290821,15.109309297816441,113.30456119799366,-92.21241388679312,0.7599000857542229
AUS,KOR,2023,-20.21918761370588,-30.027250506417115,-16.577214664950134,-34.49096997044535,-17.138011410276064,-34.813915332714195,-61.4030743175215,-36.2216071181013,0.7408247421538805
AUS,MYS,2021,23.120444370829006,57.06927819325935,11.318820552438025,40.668951409261076,-5.037278993460914,12.677598417811353,3.9164723242965715,-80.9838547210212,0.6588967603266241
AUS,MYS,2022,31.799429568465733,42.37918539492234,45.46218706339569,11.12263766764463,52.981966395514135,31.41228873624593,48.80611343645869,-93.36635715685155,0.6527346848596981
AUS,MYS,2023,-39.840261253990526,-10.623075595196497,-34.96935069797519,-20.43613148642065,-34.94050503926262,-43.60615816509623,-23.253167042501488,-45.77913704244453,0.7038345331317382
AUS,NLD,2021,13.594457783016377,91.84024333846097,11.92885965075221,10.201955475399348,185.46920223197776,-3.533184321713012,7.935951143842668,11.093451996041948,0.8222528928667676
