,country_a,country_b,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,D,year
38,CHE,FRA,835790688.254319,1934855108.1703632,2189599239.870523,1324968490.257507,1626316461.155031,493631628.9258424,3101914544.33719,2704646079.0292225,0.521709717474871,2006
39,CHE,HKG,26916184.21102172,167032174.2900577,252304642.8055648,1510076498.1710231,59759231.285201326,74510720.89761615,1433343478.042061,668700910.2974538,0.5427558654788712,2006
40,CHE,IDN,29838435.78759909,19692349.042439867,41808139.96240909,34582637.11121031,47275219.40074626,9987332.299325554,43465507.97492575,64786282.42134404,0.5995283926374071,2006
41,CHE,IND,10434246.847276209,37844559.4655964,50398993.560875066,95474903.51023586,9503834.222663634,6209991.728378857,55402305.99226012,1420613148.672714,0.5740109496427644,2006
42,CHE,JPN,106595978.68990292,1059285713.367346,624607232.6700003,837801128.8107023,514281194.806562,94469899.10241246,2019292827.918633,752018280.6344403,0.571359316817192,2006
43,CHE,KOR,39592200.38948183,134478825.30629292,265341559.1132836,84013007.901866,248056674.0280963,42646716.62516369,298266842.9599936,389618381.6758222,0.4581218287391775,2006
44,CHE,MYS,24816367.691053696,24667561.786210515,100740816.97030328,14383496.251024276,26540728.98658234,18629381.49321524,66649841.26934765,183436573.55226305,0.4969338741160758,2006
45,CHE,NLD,369332486.0460097,803079565.4498551,802351173.2678275,125431439.2497935,305837671.40083075,429697345.81164,1739982374.0374336,852110536.7366095,0.5011920165960045,2006
46,CHE,PHL,9050332.73040807,2806051.6200711555,20727969.31878381,3694626.0272010993,1535748.725341793,1349456.367842768,37059730.43865851,117845748.7716928,0.5010024076592368,2006
47,CHE,SGP,34572349.75609933,161553949.6848399,257507368.7409649,136809925.02284083,52285064.5716226,27111068.5086925,580400018.2842356,399586815.4307042,0.4337635371554598,2006
48,CHE,THA,30002347.1170362,40956576.50741012,104712397.96148746,104029913.94106364,51587523.12144181,32252776.40325506,223173999.06690112,336154737.8814046,0.6611536098561608,2006
49,CHE,USA,443944739.3409888,1570790011.3209116,2394226886.215436,2774885947.9734693,904851968.6884626,471062038.07961,4965519143.104449,4802539553.276671,0.5868285158075895,2006
50,CHE,VNM,1080332.495904013,593091.9598270211,2536466.4136115853,3408440.4110293454,3579043.319115969,257875.1639916382,2034009.2943239133,111972332.94219652,0.5476010555833981,2006
51,CHN,ARE,187425351.742566,2645548000.830892,3095023194.365923,2673026721.049726,1194207178.0205536,1176402301.2118587,275356578.5923563,1533827058.1861255,0.6354452465937601,2006
52,CHN,AUS,450960943.1419186,6298488718.461886,3013948124.5198755,1844151071.341828,878765791.0737114,942929629.7307336,315053875.5705112,1517059926.1595335,0.552294340425347,2006
53,CHN,CHE,50865116.484729566,278078533.03303736,608959903.5580832,683441063.6337237,166951439.85308284,117136651.95849971,449960552.0512617,466256403.4275817,0.5427558654788712,2006
54,CHN,DEU,996030562.0524304,4623870085.114708,10526668967.95856,3594734925.35703,7972204859.020467,6795861146.396958,2179821300.4529686,8449317977.646878,0.5777915319166862,2006
55,CHN,FRA,539164756.8389171,1115212456.2863505,3102727183.80462,1869873120.8660204,3581573372.6113787,1836307517.2788208,808690887.6519517,2789417744.661939,0.57366109819056,2006
56,CHN,HKG,3903070610.063543,6374184291.345887,28933603230.724728,25773683101.90229,8521647430.136493,51773816757.93482,13600678335.465462,35206066450.42677,0.6668059451934241,2006
57,CHN,IDN,1443581268.2581782,2946243426.7802987,1727216264.8711002,798425985.0538849,814311597.5190597,1247695865.2382042,303797242.5709103,1310787741.7083645,0.453552421140147,2006
58,CHN,IND,498391135.4405104,6181263253.532228,2673475615.007099,2035259475.4345927,1173251289.172538,1160024624.0181477,645138416.7966641,1972163742.5982203,0.5532368548914416,2006
59,CHN,JPN,3482664869.0583606,13121189201.21163,24856369113.19141,12068306373.371016,12796089511.266075,12498164821.339388,6060211225.694924,17902200916.867195,0.5860617325640012,2006
60,CHN,KOR,1082022399.710209,9611263424.84841,8377759028.242043,3107886661.448192,5729099332.934488,6374407116.12586,4998156378.311472,10624463450.379326,0.5652832074196448,2006
61,CHN,MYS,1432008378.3403428,1502824378.2614555,1530084811.240872,565641304.3315393,507784998.08696496,2850899728.702286,698253968.7344929,6077535904.302046,0.4560621571649575,2006
62,CHN,NLD,853481739.0295706,2623724577.19739,5239497543.890003,1829402538.5330925,2024438891.251201,13838538140.669811,1635220779.5757115,6500036781.853214,0.60780559899072,2006
63,CHN,PHL,123476392.393322,253696942.7189064,640154688.2488251,214445116.833683,294828738.23774016,1166051296.9299943,111843211.8054373,3621879804.832092,0.4848401223829767,2006
64,CHN,SGP,324801442.1996679,4420422196.13694,3818027371.503431,1364430230.4908736,1745276983.6672046,5103535470.400041,568012052.2699964,8626139245.331848,0.442025859885879,2006
65,CHN,THA,1121037431.9772966,2034585147.6196048,1523005161.856516,495843857.5761789,681580227.1028398,2915542231.3999867,278779078.24906164,1884522480.2185163,0.4756290283063047,2006
66,CHN,USA,5323343389.587604,15514963490.559357,48644476838.61461,28010149636.261703,23852788993.9956,41690664633.50544,11275389798.748789,54053920242.72692,0.5634932316661836,2006
67,CHN,VNM,1003857806.6591352,2020022401.5976944,1206051147.7170427,1117477424.1656697,1594831667.1692865,260253994.7972889,137622880.09145433,1024418997.8024272,0.4608628112533993,2006
68,DEU,ARE,312982413.7488106,591272368.1706415,1522842523.133176,189367829.4368881,1805212124.000079,727383301.6448336,450474181.3340268,1593092458.5315433,0.5660265808101566,2006
69,DEU,AUS,532296940.7573553,1495100534.7303398,1602738280.9982364,320563650.437875,1728937166.8796165,392837614.43183726,854016696.4584692,697371387.3062699,0.5919294221067976,2006
70,DEU,CHE,2244136403.37456,6172441152.949611,14043473011.986923,2984923598.2525964,6273277899.407588,3441224698.6802044,6831694204.62316,6592238694.725351,0.5397481504797259,2006
71,DEU,CHN,835345013.9043429,2761643071.2106404,8502989551.985875,3795080499.191027,5503172989.681033,6330778948.985634,2088529329.8477244,8423498931.193725,0.5777915319166862,2006
72,DEU,FRA,8347186978.697453,13273901857.610218,20303833734.286835,3095765136.0710206,37509210257.93345,6342790437.758263,7260321691.642492,22787624274.00026,0.0244206504024362,2006
73,DEU,HKG,143359966.47772202,588191200.2038751,1432763541.4433582,1370720163.3795831,492049123.5723098,687827591.3655759,552616233.197736,1361061236.3598397,0.5777915319166862,2006
74,DEU,IDN,357985635.3279983,200490830.40285417,367872303.6533844,347341886.7803488,188213402.8517556,164935223.26531792,102153831.67148934,352064422.0468516,0.6482481796424459,2006
75,DEU,IND,432442427.8573131,1336791321.061909,1921079660.5802128,1701881412.7278073,1574989058.8902705,296028852.09450126,502202824.3413233,847276410.4466629,0.6042708993263893,2006
76,DEU,JPN,362181111.3746642,2133890566.8586285,3067804725.7796826,474077139.44586384,5100179345.6835575,2807877130.12225,2083556316.1805973,3185441408.5547543,0.5887595871825358,2006
77,DEU,KOR,143011708.64650995,1225933801.2624438,1871024358.2647133,343102404.4539538,3209994378.314177,1569578900.414055,549312402.5867808,2525903934.0573654,0.6398049600507141,2006
78,DEU,MYS,234518741.968244,296495965.10821515,712359289.0991738,105206966.6940374,290558179.5088896,1053928396.83418,212308611.4140705,2183264873.373189,0.6172379661421268,2006
79,DEU,NLD,9864328398.673922,14903672816.18412,13327299804.460333,2575365436.3424044,10916633380.326143,6049725877.492112,4322990523.545778,16495898258.975187,0.0,2006
80,DEU,PHL,106635274.94406652,130943983.69014496,255423709.51849225,56254454.64902835,363080191.5599294,341585729.73599994,65220500.54497375,508728795.3573648,0.6105847121508086,2006
81,DEU,SGP,85443944.22128226,635996636.3874991,1190118733.356045,98875506.9334966,637562894.3195555,1454816878.3012147,431038063.8951114,1975386126.585796,0.6012777695688246,2006
82,DEU,THA,338867466.97679657,242262259.85012463,629640397.6038172,412550769.4634608,298108300.2281544,385041883.0552815,248587803.23929256,512706623.5830723,0.6317847025311677,2006
83,DEU,USA,3572059246.1961308,12030803841.603884,16621956829.929102,2765185431.5279484,37866500757.506256,5883163585.440989,12233765159.278622,16220376092.517056,0.586647353948334,2006
84,DEU,VNM,159449330.24095306,49686738.83585376,134318173.2863039,378909143.9343493,62167664.3069194,14252101.690824185,32378304.088937435,165146575.61585906,0.5820495708056055,2006
85,FRA,ARE,184557010.5284244,1158149056.14047,518683410.89889497,146296545.9814388,1581386185.4231548,249929385.88705343,403065695.181738,517459109.9588265,0.6205508624335428,2006
86,FRA,AUS,219116067.0315743,926888057.8235706,398808389.6149874,52572625.60625771,575626459.79943,59547874.9286854,548746931.6788604,292537305.51663417,0.5725266258041849,2006
87,FRA,CHE,1166359750.253172,2179977381.775223,2532335407.4043326,993947015.0013812,1688868819.092707,649839030.8875407,3763547277.926984,1623743429.6586587,0.521709717474871,2006
88,FRA,CHN,209225524.655739,437582271.7324585,2136752684.722412,1715444279.9971824,1923711177.728095,1750550699.9906745,758539904.7040468,2406757040.4693923,0.57366109819056,2006
89,FRA,DEU,6988381301.57361,12239135843.495678,16712252082.625956,2199270552.093006,24586824207.5162,4273830971.111867,5990564633.599702,13318768247.983973,0.0244206504024362,2006
90,FRA,HKG,218724822.3275528,123364884.95297652,415398098.54620594,680072932.1841706,1023339392.0091084,170150578.58503795,373678005.5072034,759311221.8877442,0.57366109819056,2006
91,FRA,IDN,82087872.16920087,52606416.80138298,151486495.7398753,145480624.0219015,19137039.395548303,49063756.05384491,27435416.90185735,106776490.91638868,0.5607332222580758,2006
92,FRA,IND,193753126.37470776,505169535.3124012,554359424.535788,861174547.7488724,907922867.7805498,90035870.73149663,165266658.8019804,434574224.71420336,0.5843798518707887,2006
93,FRA,JPN,557082417.3372496,873543738.7176323,968310651.8051374,381428715.9826057,2251724510.5869727,824761967.0998731,880810287.0874081,1262778031.3831215,0.5779682404463972,2006
94,FRA,KOR,152053001.7665507,300817181.2285841,467237432.25842816,168842496.46787077,1090704430.142173,404683912.8044691,271980149.3654844,1203682163.9664395,0.6015303439149413,2006
95,FRA,MYS,145569675.71522635,67411811.20693453,195803085.7254585,71399427.28950408,396451203.35458905,257236917.4303269,57487518.24851531,809324521.029445,0.5722584409518245,2006
96,FRA,NLD,4167308581.8595448,4160012465.760565,3074451766.547831,573110493.5928633,2379221325.1189594,1616268760.5638435,2160826729.356254,4204124037.200141,0.0167595111200776,2006
97,FRA,PHL,33109882.382876523,15484492.061189478,38587324.76344718,43257309.93938538,14927368.515075317,68722264.63921182,53961989.95541407,230134103.74340025,0.6695472103117708,2006
98,FRA,SGP,327666445.93413067,1520027979.6545398,378334807.9103603,49117010.31040167,438299580.58326393,483110336.5656506,567249723.7096362,1105879875.3320167,0.5728674880712047,2006
99,FRA,THA,140571158.81030542,45510501.118520185,157492762.12343335,185361379.64957795,105126185.55003442,86759418.35890123,61923044.697719015,159600061.69150847,0.5875936023539522,2006
100,FRA,USA,2665746333.024858,3760297816.454929,4301307334.786838,781491630.8786534,9662081308.835411,2032509860.864412,6425587326.172139,6916104788.982758,0.5842462018226449,2006
101,FRA,VNM,42163647.20293852,12348091.396877212,65187090.171706125,199844907.64302853,24704147.9526612,8909047.487271203,30996609.254773192,66249082.89074403,0.5780073061612933,2006
102,HKG,ARE,19377410.501987584,29096162.23299249,107822441.48310028,729280003.0309353,363631454.20021576,254453420.5108516,295106437.72694075,514639390.3129764,0.6354452465937601,2006
103,HKG,AUS,212934453.6156656,122080963.09475884,649665008.6084663,999555840.1990534,274787291.2055222,653844796.2765247,495769782.8023074,739948104.1977017,0.552294340425347,2006
104,HKG,CHE,9635902.503750812,37364395.843020365,102495141.99898072,777098320.880845,146738578.74069986,47419759.52736543,579740119.1679674,113824197.33737044,0.5427558654788712,2006
105,HKG,CHN,5412619680.076736,10525394896.690117,30073926092.620724,22846519934.48601,6672037267.275053,46513677693.76129,8243451285.508208,36428207517.58185,0.6668059451934241,2006
106,HKG,DEU,161232728.66269764,324395196.0215372,1943550504.9103668,2276201257.360514,800162212.6677105,1806468859.8615527,1003105657.2498014,2605577343.265818,0.5777915319166862,2006
107,HKG,FRA,107507711.90855376,76185287.01907939,617459844.4688044,1130617715.3319926,620512198.0828292,627922375.9343692,503407121.8874507,1126106017.3669202,0.57366109819056,2006
108,HKG,IDN,67308058.41231346,193241039.96667272,246918188.7408028,369430738.055451,42912608.004007496,338495811.13829035,57468460.62727659,285890631.0551856,0.5464737891157118,2006
109,HKG,IND,107926020.53180124,36844220.99965052,183890171.09744507,2317022986.379654,81066031.76095413,277283789.32417387,66150386.01966817,242352201.88665247,0.5648520258883873,2006
110,HKG,JPN,241876794.7390257,1006473116.7526084,3254930906.9258595,2141312703.7721424,1194140858.473785,3883552987.546989,2096899425.8340456,3534963093.9555435,0.5860617325640012,2006
111,HKG,KOR,119266217.10655408,715060142.1427423,792924699.5281732,546872013.7171851,352645569.3307844,2101583311.5497303,251849241.2011761,2592281621.4236546,0.5768983784165905,2006
112,HKG,MYS,84077707.33248988,179711239.6259954,443694471.34080726,115511681.26242004,47428255.66346299,1097577578.1625843,102710124.3756838,1073051374.2365564,0.5489835251405224,2006
113,HKG,NLD,164250157.77687532,158005640.1026109,685664645.8776186,1007136544.0370148,257242933.67689413,2155491152.1423635,375415853.4943633,1117216496.8922596,0.60780559899072,2006
114,HKG,PHL,68677504.40737951,30644142.08982559,367680531.7587821,361135501.2515292,47157750.417699575,934293474.1777636,144477202.95302576,999645508.9439946,0.5777614903585412,2006
115,HKG,SGP,71408824.40591916,1091428521.9712906,670932506.902632,287168209.41603017,270580569.4238958,1488179757.0317771,255663721.0668113,2837819841.781644,0.5349472278614438,2006
116,HKG,THA,168283401.11277688,344867121.2679919,557346270.2324373,508857720.498632,91184024.91629486,1020641746.8058408,191067545.4923567,690667113.6736695,0.5685503962818692,2006
117,HKG,USA,950690059.844658,1016298191.6555502,6988062645.524726,15891333703.323105,3620304483.908199,8924663713.089153,4663736351.040095,11563729923.614508,0.5634932316661836,2006
118,HKG,VNM,303927659.89606744,33857580.565157644,250017142.982902,494963876.69197726,109899216.43941575,210461180.2366672,47054967.71983496,241407367.46797755,0.5537841792289638,2006
119,IDN,ARE,82497723.20976265,32303710.726402804,134338282.56980214,234381541.17314285,191936473.89132923,53296707.42609109,40574139.85674761,427195069.1467216,0.6135272321545894,2006
120,IDN,AUS,329539386.32659215,1076562997.58903,462724577.6266577,217699911.22915253,281400075.5287292,57008737.42574561,42449230.27401586,636445356.0000767,0.5894642960276996,2006
121,IDN,CHE,23370672.90077457,63720478.83302052,30376701.79323889,31103126.718601853,55512414.44610319,4175609.419995344,23625494.328364585,33668237.55990105,0.5995283926374071,2006
122,IDN,CHN,1442057544.727048,3717080858.7934256,1315278528.1650836,329750081.0922623,769083990.0904454,357701441.86037666,147847835.34217826,1265999463.929179,0.453552421140147,2006
123,IDN,DEU,413951819.4832495,279614086.6956845,391072709.1639294,435148461.0406648,179861242.8437968,125559402.33391058,101371073.72900908,342203028.709755,0.6482481796424459,2006
124,IDN,FRA,93013585.51600444,99013308.59134252,172998390.43311328,87166961.33718053,214120746.67873767,23127488.53424016,38882489.04994091,105162149.85944062,0.5607332222580758,2006
125,IDN,HKG,72499016.35497294,394723749.6478992,396287781.4308556,199360684.80205348,88634523.537407,244698550.167644,51265389.52843115,460146688.5307365,0.5464737891157118,2006
126,IDN,IND,1090940481.437767,1619428063.598132,242306457.46084964,106444756.05377024,275470438.64264095,71905794.05627246,42260746.07917395,348928254.67139304,0.5975394120964123,2006
127,IDN,JPN,993110948.469741,11810660219.803488,3776091835.681575,662425468.3206269,2627771816.026263,512623597.29561627,261980027.4881761,3695314326.914514,0.5827095849495475,2006
128,IDN,KOR,284320636.40720755,5233459461.996109,614703326.2100571,296341386.3533847,429498657.0981161,162908367.36541277,72872140.32763028,1522661464.242082,0.474006354463743,2006
129,IDN,MYS,700950279.4471643,1454791474.806235,680364206.2798729,159037880.04726923,448871786.9223182,220902668.96225664,72057118.54730572,867072968.9875778,0.448409120541906,2006
130,IDN,NLD,986955434.0577585,393794303.6424434,265830152.9428015,248780915.25111824,251462020.6370977,290108410.316512,38736634.22393129,344893024.92833745,0.6075101371099478,2006
131,IDN,PHL,227884569.4437541,445916886.4941058,264126438.55694607,101503339.93489708,276206028.6786132,49058254.37623841,37788162.15708971,171865376.35835573,0.4526684258700901,2006
132,IDN,SGP,542033709.9343677,1223855077.339364,1634248042.6835053,306410706.1128319,942510859.618324,714086112.2342623,259153442.34690496,4379133601.730439,0.4001396743591902,2006
133,IDN,THA,231036770.5527774,852686756.2771729,608959077.9462937,86551985.52212523,728778446.8812637,79571984.88698712,90013853.58452436,348135524.3488555,0.4520959827204898,2006
134,IDN,USA,1931980432.1193657,1412065983.6956584,1488231947.2170107,3574099708.110013,1157960256.7063951,542749007.9203576,262473063.75221145,2240672944.478986,0.5999657259640827,2006
135,IDN,VNM,190583633.15602672,502313250.7965167,113304226.10594375,42510374.0810863,120385748.18795846,51238014.44284581,18136165.7358594,139773323.49376267,0.4070537105856495,2006
136,IND,ARE,394970073.0408988,3775630922.157111,1138538311.765134,4408721033.980256,621336847.5990944,111481028.70507012,143134770.68668565,1918910980.06575,0.6186942804387302,2006
137,IND,AUS,30902215.618831847,428526494.9693873,57207602.80800022,413133012.9306963,26281611.552970584,4438028.327085188,13934604.832112696,32357228.96091577,0.5834345276516378,2006
138,IND,CHE,3348508.9037739136,16551538.260921655,21789305.53003536,444518049.5064558,3800050.39051386,2852749.6263687355,24471825.10299059,9486148.678940142,0.5740109496427644,2006
139,IND,CHN,287670347.59430534,2912551403.536197,1461516774.252404,826234912.584867,678372740.0501868,841663327.776268,424948081.7898539,1426522476.4159186,0.5532368548914416,2006
140,IND,DEU,200586381.4596565,682384062.2838017,1026437717.606086,844293436.5600153,633468202.9665451,163808556.14049876,343537701.97650856,452413605.0068877,0.6042708993263893,2006
141,IND,FRA,86177809.76061618,206980254.1130548,256134502.2458974,384845414.0131887,1022366584.1571326,57043806.82882942,87872102.1877976,272609350.69348323,0.5843798518707887,2006
142,IND,HKG,229095581.75015825,68695963.34307659,274578700.1819775,3776323859.5711727,136133222.8250026,192115097.49822456,92416836.95870808,414295649.8716795,0.5648520258883873,2006
143,IND,IDN,532080321.8434535,987912608.8895332,137358839.10762647,78261061.52927424,111856683.4204524,40101455.4814151,21035690.97366752,181438394.7545777,0.5975394120964123,2006
144,IND,JPN,146728621.823901,699945515.4306619,442219598.5127864,459342862.3676187,587807671.8267379,123460176.2197676,164837743.51574332,475084114.30278313,0.5793232402441801,2006
145,IND,KOR,105792291.98057628,658211139.9565594,341076838.3731513,182083118.5706555,503900016.2302601,121899619.74322678,47389915.354126334,663636051.7914442,0.5742391101396409,2006
146,IND,MYS,190023667.56914425,691622869.6422657,127521366.50680594,41500687.85402166,62747717.99708805,170307006.53039357,24903382.23332968,112314357.66695105,0.5662915905878989,2006
147,IND,NLD,279917119.6010219,869036269.2214727,442785446.6841963,431195687.96891546,408939520.16591465,100669287.18217972,164761565.29210714,238593983.88419223,0.5875812696149387,2006
148,IND,PHL,110353073.80535255,79510223.7564405,68979747.8261585,30616826.99533497,168324544.69661492,65281184.16242478,38709922.61900627,66064988.13866747,0.5785388189065462,2006
149,IND,SGP,93084650.36230277,2576070678.705557,623119352.2580863,203250856.3569581,560510213.9674388,642932970.0538687,185979186.81859207,1732035131.4771972,0.5233786959650032,2006
150,IND,THA,108102294.18507646,261085764.13240388,288379575.5895556,295531074.7067268,235015122.84057683,65936903.34414624,58599876.39413493,201690892.80737936,0.5367036062929709,2006
151,IND,USA,1327332174.548962,2211956765.3366294,2812747953.617961,7210577126.873248,2926184710.6750865,782348301.7822807,1294865518.1837478,2171308408.982083,0.5746976349246974,2006
152,IND,VNM,352923603.24451697,155895627.19875154,136066227.51050708,71099212.99706788,74084729.7731382,9724130.5723389,105662283.50657788,113321657.19710164,0.5323571260503599,2006
153,JPN,ARE,4781376.677713683,5419162038.152773,208866714.6824197,40624730.687139176,613635721.2332132,24830656.70626031,18406812.842651434,436087341.01782864,0.5895537188713493,2006
154,JPN,AUS,1504342555.80058,7333083144.588181,1137236287.318949,346028521.82984394,2607784270.12477,167551348.84757924,135326067.37902066,857328252.1110754,0.5960247153788062,2006
155,JPN,CHE,46627283.712042816,410917346.2813084,263085182.7812719,218867148.75407025,274541370.16782606,45695285.66009212,1052217432.9402934,396529461.7030948,0.571359316817192,2006
156,JPN,CHN,3873393324.484644,11454577808.188694,23278746445.392147,14051204631.4336,12418910533.315874,14369404562.377716,6152639947.0721245,18324875707.7352,0.5860617325640012,2006
157,JPN,DEU,604712096.3138362,2721924179.6506567,3643915440.1046696,517474278.1835475,6349859935.471616,2142453265.8743784,2820603523.9042816,4063885696.497011,0.5887595871825358,2006
158,JPN,FRA,951412330.5997536,1127396919.5328505,906051771.8610144,477254869.7226865,2229650019.44997,541281379.581963,1033008237.3471245,1318398615.9046376,0.5779682404463972,2006
159,JPN,HKG,479994135.4072626,3890643725.026256,8025324965.324151,2422330359.853939,3161126107.12954,5449060164.898204,3933035174.2556896,13447457656.104958,0.5860617325640012,2006
160,JPN,IDN,341010761.841851,4118882737.643783,1355730262.352749,221414018.78218773,764023551.2669332,210762875.1102433,184232693.2678224,1058988219.7344288,0.5827095849495475,2006
161,JPN,IND,236810079.8737104,1027841476.295373,777877410.6098452,704832249.7936099,718682875.5547307,147200638.7030382,185074905.7092552,1226015723.4604378,0.5793232402441801,2006
