"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
582869428,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"USAGOV","UNITED STATES","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"110","110","11",3,-2,2,1,2,2.91777188328913,2,"Michigan, United States","US","USMI",43.3504,-84.5603,NA,2,"Michigan, United States","US","USMI",43.3504,-84.5603,NA,2,"Michigan, United States","US","USMI",43.3504,-84.5603,NA,20160926,"http://www.deadlinedetroit.com/articles/15860/wsu_board_member_blasts_school_president_only_one_to_vote_against_25_000_bonus"
582869429,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"USAGOV","HILLARY CLINTON","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"110","110","11",3,-2,216,51,216,-2.67295003718745,1,"United States","US","US",38,-97,NA,1,"United States","US","US",38,-97,NA,1,"United States","US","US",38,-97,NA,20160926,"http://www.usnews.com/opinion/articles/2016-09-26/the-presidential-election-isnt-a-popularity-contest-for-candidates"
582869430,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"USAGOV","OBAMA","USA",NA,NA,NA,NA,"GOV",NA,NA,0,"1123","112","11",3,-2,4,1,4,-4.78309232480534,3,"San Francisco, California, United States","US","USCA",37.7749,-122.419,277593,3,"San Francisco, California, United States","US","USCA",37.7749,-122.419,277593,3,"San Francisco, California, United States","US","USCA",37.7749,-122.419,277593,20160926,"http://www.upi.com/Top_News/US/2016/09/26/Television-networks-wont-conduct-on-screen-fact-checking-during-presidential-debate/7981474892101/"
582869466,20160926,201609,2016,2016.7288,"USACOP","UNITED STATES","USA",NA,NA,NA,NA,"COP",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"193","193","19",4,-10,2,2,2,-9.55414012738856,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,20160926,"http://www.klif.com/2016/09/26/manhunt-underway-for-suspect-in-deadly-carjacking-shootings-in-dallas-county/"
582869468,20160926,201609,2016,2016.7288,"USACOP","UNITED STATES","USA",NA,NA,NA,NA,"COP",NA,NA,"USAMIL","UNITED STATES","USA",NA,NA,NA,NA,"MIL",NA,NA,1,"193","193","19",4,-10,2,2,2,-9.55414012738856,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,3,"Cedar Hill, Texas, United States","US","USTX",32.5885,-96.9561,1332440,20160926,"http://www.klif.com/2016/09/26/manhunt-underway-for-suspect-in-deadly-carjacking-shootings-in-dallas-county/"
582869472,20160926,201609,2016,2016.7288,"USACVL","UNITED STATES","USA",NA,NA,NA,NA,"CVL",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"193","193","19",4,-10,2,1,2,-5.41089566020314,3,"Houston, Texas, United States","US","USTX",29.7633,-95.3633,1380948,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Houston, Texas, United States","US","USTX",29.7633,-95.3633,1380948,20160926,"http://m.reviewjournal.com/news/nation-and-world/troubled-lawyer-shoots-nine-houston-being-shot-killed"
582869473,20160926,201609,2016,2016.7288,"USACVL","HOUSTON","USA",NA,NA,NA,NA,"CVL",NA,NA,"USA","HOUSTON","USA",NA,NA,NA,NA,NA,NA,NA,1,"193","193","19",4,-10,159,33,159,-7.43288507062567,1,"Cuba","CU","CU",21.5,-80,NA,1,"Cuba","CU","CU",21.5,-80,NA,1,"Cuba","CU","CU",21.5,-80,NA,20160926,"http://www.newsday.com/news/nation/houston-strip-mall-injures-9-killed-by-police-police-say-1.12365748"
582869497,20160926,201609,2016,2016.7288,"USAEDU","MISSISSIPPI","USA",NA,NA,NA,NA,"EDU",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"111","111","11",3,-2,4,1,4,-2.42890995260663,3,"University Of Mississippi, Mississippi, United States","US","USMS",34.3668,-89.5354,711542,3,"University Of Mississippi, Mississippi, United States","US","USMS",34.3668,-89.5354,711542,3,"University Of Mississippi, Mississippi, United States","US","USMS",34.3668,-89.5354,711542,20160926,"http://thedmonline.com/students-protest-lyceum-response-viral-comments/"
582869502,20160926,201609,2016,2016.7288,"USAELI","JIMMY CARTER","USA",NA,NA,NA,NA,"ELI",NA,NA,"USAGOV","BARACK OBAMA","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"111","111","11",3,-2,5,1,5,-2.18579234972678,3,"Chicago, Illinois, United States","US","USIL",41.85,-87.6501,423587,3,"Chicago, Illinois, United States","US","USIL",41.85,-87.6501,423587,3,"Chicago, Illinois, United States","US","USIL",41.85,-87.6501,423587,20160926,"http://freerepublic.com/focus/f-news/3473565/posts"
582872013,20160926,201609,2016,2016.7288,"CHN","CANTON","CHN",NA,NA,NA,NA,NA,NA,NA,"CHE","SWISS","CHE",NA,NA,NA,NA,NA,NA,NA,1,"120","120","12",3,-4,7,1,7,0.40241448692152,1,"Switzerland","SZ","SZ",47,8,NA,1,"Switzerland","SZ","SZ",47,8,NA,1,"Switzerland","SZ","SZ",47,8,NA,20160926,"http://www.swissinfo.ch/eng/vote-away-from-home_swiss-abroad-still-left-leaning-in-polls/42474932"
582872034,20160926,201609,2016,2016.7288,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"USAMED","REUTERS","USA",NA,NA,NA,NA,"MED",NA,NA,1,"111","111","11",3,-2,5,1,5,2.00573065902578,1,"China","CH","CH",35,105,NA,1,"China","CH","CH",35,105,NA,1,"China","CH","CH",35,105,NA,20160926,"http://www.just-auto.com/news/hyundai-eyes-genesis-brand-entry-to-china_id172248.aspx"
582872040,20160926,201609,2016,2016.7288,"CHNCVL","CHINESE","CHN",NA,NA,NA,NA,"CVL",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,"110","110","11",3,-2,3,1,3,2.93193717277487,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,4,"Valencia, Carabobo, Venezuela","VE","VE07",10.1806,-68.0039,-960192,20160926,"http://www.routesonline.com/news/29/breaking-news/269085/smart-marketing-is-the-way-to-attract-chinese-tourists/"
582873113,20160926,201609,2016,2016.7288,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,"130","130","13",3,-4.4,2,1,2,-3.68445914029286,4,"Madrid, Madrid, Spain","SP","SP29",40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain","SP","SP29",40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain","SP","SP29",40.4,-3.68333,-390625,20160926,"https://wn.com/Spanish_police"
