period,partner_iso3,reporter_iso3,bec_1_prop,bec_2_prop,bec_3_prop,bec_4_prop,bec_5_prop,bec_6_prop,bec_7_prop,bec_8_prop
2006,AUS,CHN,0.0295492013736905,0.4127082717963385,0.197488854446686,0.1208379399575577,0.0575811003494724,0.0617854338249518,0.0206438951185733,0.0994053031327294
2006,AUS,FRA,0.0712840624187123,0.3015403984936143,0.1297425721607369,0.0171032201152645,0.1872660140631867,0.0193724471729698,0.1785214158861114,0.0951698696894038
2006,AUS,DEU,0.0698198526896677,0.1961080199758283,0.2102265523453355,0.0420474083871114,0.2267796958018835,0.0515273755501334,0.1120189040658563,0.0914721911841835
2006,AUS,HKG,0.0513269922082337,0.0294271243339897,0.1565991330599569,0.2409389084313825,0.0662363695265793,0.1576066540384911,0.1195033088675306,0.1783615095338358
2006,AUS,IDN,0.1061718449296032,0.346849828516986,0.149081791553149,0.0701391159152766,0.0906621982739426,0.0183672212814044,0.0136764019144201,0.205051597615218
2006,AUS,JPN,0.1067766822700655,0.5204946745476913,0.0807198581525347,0.0245607474104479,0.1850978365042672,0.0118926218438977,0.0096053046187325,0.060852274652363
2006,AUS,KOR,0.0657392529769067,0.5077627203644798,0.1240072019767161,0.0247961524664867,0.1365358217115839,0.0208377022625467,0.0096303686064453,0.1106907796348345
2006,AUS,MYS,0.0920536327986519,0.2522797958503804,0.2081085878337308,0.0243279610891501,0.0669570974029102,0.1641586896997525,0.0328479213763983,0.1592663139490254
2006,AUS,NLD,0.1809348831895559,0.1815263954922326,0.1099874940097296,0.0236065299922303,0.0689784880144882,0.0450090996750892,0.237048343833226,0.1529087657934479
2006,AUS,PHL,0.1766624752768238,0.1563358452442036,0.1700478136593234,0.0169105844263989,0.0742627100841675,0.0624636107034546,0.0826099857323781,0.2607069748732498
2006,AUS,IND,0.0306940851661373,0.4256403131340877,0.0568223021416382,0.4103505082046621,0.0261046014713139,0.0044081376274609,0.0138407534511114,0.0321392988035882
2006,AUS,SGP,0.0494998909999306,0.364124706842712,0.0894783628947392,0.1190613845718716,0.0321014206254093,0.0352267189789782,0.029404981803553,0.2811025332828059
2006,AUS,VNM,0.04626410160182,0.6571857580090944,0.0774641044607696,0.1338592995148851,0.0092331844005368,0.0058841658907088,0.0070982193745454,0.0630111667476396
2006,AUS,CHE,0.0524176009599158,0.0282321981708362,0.1375425700895254,0.0843767875875696,0.0358730713206955,0.0254346633709545,0.3961999982551951,0.2399231102453075
2006,AUS,THA,0.0771657830892338,0.1572319984888519,0.2525148643283902,0.1444368551037821,0.2613681266009119,0.018876448536979,0.0233930004084743,0.0650129234433765
2006,AUS,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,AUS,USA,0.1329704847303058,0.1203172175217568,0.122595918514286,0.0373372642688738,0.1886950036896958,0.0780188798241344,0.1210058194358912,0.1990594120150559
2006,CHN,AUS,0.0317595979613492,0.2802970431994066,0.1883273615628628,0.1610728393732886,0.0561378560573699,0.1055875728213103,0.0354951923187601,0.1413225367056522
2006,CHN,FRA,0.0184525599830811,0.038592390340337,0.1884500332773732,0.1512929100135637,0.1696609242852128,0.1543891064350426,0.0668991181364836,0.2122629575289057
2006,CHN,DEU,0.0218442032500449,0.0722167386498718,0.2223524758212746,0.0992410421978095,0.1439075200136593,0.1655493476239074,0.0546148698028837,0.2202738026405483
2006,CHN,HKG,0.0324661403675022,0.063133744533569,0.1803903402854769,0.137038692341939,0.0400204173320906,0.2789997595014843,0.0494461208004516,0.2185047848374861
2006,CHN,IDN,0.1543165807970307,0.3977699855130706,0.1407497821459023,0.0352870141817629,0.0823007459934334,0.0382781281204068,0.0158214022121883,0.1354763610362047
2006,CHN,JPN,0.0372714919752321,0.1102209791499498,0.2239983236012664,0.135206863024297,0.1195002122190091,0.1382687225307237,0.0592034041480417,0.1763300033514799
2006,CHN,KOR,0.023586036393745,0.1980679171717709,0.2015615459802656,0.0703321926138962,0.132376252313565,0.1634529090732343,0.0641263386476539,0.1464968078058688
2006,CHN,MYS,0.1170102458600056,0.1001408373083521,0.1810230484712294,0.0287232349647908,0.0400914471221202,0.2878266286856745,0.0228023642316066,0.2223821933562206
2006,CHN,NLD,0.0231676577905441,0.0435590280191951,0.1389793378979472,0.0691166633321483,0.0474534004343278,0.390211040164037,0.0416162235794328,0.2458966487823674
2006,CHN,PHL,0.0348171998513076,0.0450452528796735,0.1521485039366091,0.0327442994331421,0.061825983400329,0.5242753632904903,0.0131179661795658,0.1360254310288824
2006,CHN,IND,0.0324703419970702,0.328749698909667,0.1649664273404932,0.0932599776303156,0.076570265427507,0.0950014359416327,0.0479653522238406,0.1610165005294735
2006,CHN,SGP,0.0183303576537885,0.1131205873279096,0.1448497475501467,0.0323373523772387,0.0446889445166675,0.1563643145131448,0.0239678432634584,0.4663408527976455
2006,CHN,VNM,0.1886658688390599,0.2124195456774383,0.1418711079832013,0.1283800377508882,0.1618604331155289,0.0305486692202411,0.0148817406249871,0.1213725967886548
2006,CHN,CHE,0.0286542215232721,0.1233745341294437,0.2743898705400278,0.1649575742603705,0.0462925207021066,0.0468196658734925,0.1723746613197174,0.1431369516515691
2006,CHN,THA,0.1111774420642085,0.1782806968688748,0.1884969031271547,0.0551975962440142,0.0655110905295282,0.227291264629448,0.0191739857453866,0.1548710207913846
2006,CHN,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,CHN,USA,0.0174429212625762,0.0471522634343747,0.2164492838415294,0.1348908435208787,0.0907598682942531,0.1853519538736437,0.0571169753820174,0.2508358903907265
