YEAR,COUNTRY,SECTOR_ID,TCI,ICI,ECI,SECTOR
2000,AUS,1,3.7726821899414062,3.843991756439209,3.30065655708313,"Agriculture, Hunting, Forestry and Fishing"
2000,AUS,2,2.170142412185669,2.081941604614258,2.4171066284179688,Mining and Quarrying
2000,AUS,3,3.3741796016693115,3.3910410404205322,3.109400987625122,"Food, Beverages and Tobacco"
2000,AUS,4&5,2.2101070880889893,2.4439697265625,2.0216288566589355,Textiles; Leather Products and Footwear
2000,AUS,6,3.5022244453430176,3.6265783309936523,3.1565029621124268,Wood and Products of Wood and Cork
2000,AUS,7,3.36041522026062,4.146399974822998,2.7652385234832764,"Pulp, Paper, Printing and Publishing"
2000,AUS,8,3.1596860885620117,3.9676568508148193,2.744288682937622,"Coke, Refined Petroleum and Nuclear Fuel"
2000,AUS,9,2.6863903999328613,2.7018392086029053,2.632404088973999,Chemicals and Chemical Products
2000,AUS,10,3.0024237632751465,3.549635171890259,2.5618081092834473,Rubber and Plastics
2000,AUS,11,3.9377803802490234,4.521868705749512,3.4256601333618164,Other Non-Metallic Mineral Products
2000,AUS,12,3.1144566535949707,3.2763867378234863,2.971393346786499,Basic Metals and Fabricated Metal
2000,AUS,13,3.0420117378234863,3.337149143218994,2.617560625076294,Other Machinery
2000,AUS,14,2.4750263690948486,2.8826143741607666,2.154392719268799,Electrical and Optical Equipment
2000,AUS,15,2.979170322418213,3.379795789718628,2.5216948986053467,Transport Equipment
2000,AUS,16,3.7770450115203857,4.018125057220459,3.371324062347412,Other Manufacturing; Recycling
2000,AUS,18,9.145881652832031,10.348905563354492,7.51100492477417,Construction
2000,AUS,19,9.915846824645996,7.409205436706543,12.070009231567383,"Sale, Maintenance and Repair of Motor Vehicles"
2000,AUS,20,4.999817848205566,5.875936031341553,3.8965179920196533,Wholesale Trade and Commission Trade
2000,AUS,21,5.4772138595581055,6.351945400238037,4.443368434906006,Retail Trade; Repair of Household Goods
2000,AUS,22,2.8532044887542725,3.350684642791748,2.712078809738159,Hotels and Restaurants
2000,AUS,23,2.903972625732422,3.463949203491211,2.5517868995666504,Inland Transport
2000,AUS,24,6.000565528869629,1.4665837287902832,23.79572296142578,Maritime Transport
2000,AUS,25,4.740723133087158,3.8746354579925537,5.29783821105957,Air Transport
2000,AUS,26,3.6689095497131348,4.0080671310424805,3.389899253845215,Logistics and Travel Agencies
2000,AUS,27,4.163877964019775,4.337716102600098,3.7367312908172607,Post and Telecommunications
2000,AUS,28,4.702517032623291,4.764469146728516,4.719257354736328,Financial Intermediation
2000,AUS,29,6.842913627624512,5.299647808074951,8.853447914123535,Real Estate Activities
2000,AUS,30,4.913454532623291,4.9735636711120605,4.9068145751953125,Business and Professional Activities
2000,AUS,32,5.67371129989624,3.7477080821990967,3.192034959793091,Education
2000,AUS,33,3.622122287750244,5.9662065505981445,2.9200327396392822,Health and Social Work
2000,AUS,34,4.318204402923584,4.1154327392578125,4.3646159172058105,"Other Community, Social and Personal Services"
2001,AUS,1,3.8895223140716553,4.0696702003479,3.3910317420959473,"Agriculture, Hunting, Forestry and Fishing"
2001,AUS,2,2.2665822505950928,2.0986340045928955,2.6463286876678467,Mining and Quarrying
2001,AUS,3,3.41070818901062,3.350822687149048,3.269263744354248,"Food, Beverages and Tobacco"
2001,AUS,4&5,2.2399742603302,2.4689624309539795,2.0500147342681885,Textiles; Leather Products and Footwear
2001,AUS,6,3.5472962856292725,3.556043863296509,3.3210391998291016,Wood and Products of Wood and Cork
2001,AUS,7,3.4159178733825684,4.253486633300781,2.8090391159057617,"Pulp, Paper, Printing and Publishing"
2001,AUS,8,3.2892942428588867,3.8455991744995117,3.230994939804077,"Coke, Refined Petroleum and Nuclear Fuel"
2001,AUS,9,2.6990394592285156,2.772860527038574,2.5857603549957275,Chemicals and Chemical Products
2001,AUS,10,3.0180015563964844,3.475958824157715,2.6616108417510986,Rubber and Plastics
2001,AUS,11,4.015157699584961,4.528870582580566,3.566802501678467,Other Non-Metallic Mineral Products
2001,AUS,12,3.159907102584839,3.161107301712036,3.1694138050079346,Basic Metals and Fabricated Metal
2001,AUS,13,3.108031988143921,3.346538543701172,2.6404757499694824,Other Machinery
2001,AUS,14,2.5147082805633545,2.8914620876312256,2.1922125816345215,Electrical and Optical Equipment
2001,AUS,15,3.036623954772949,3.1981210708618164,2.6742031574249268,Transport Equipment
2001,AUS,16,3.843083381652832,3.993778705596924,3.4980416297912598,Other Manufacturing; Recycling
2001,AUS,18,9.763947486877441,11.400198936462402,7.761530876159668,Construction
2001,AUS,19,10.112808227539062,7.711102485656738,12.725689888000488,"Sale, Maintenance and Repair of Motor Vehicles"
2001,AUS,20,5.1747941970825195,5.6303510665893555,4.3728861808776855,Wholesale Trade and Commission Trade
2001,AUS,21,5.669992446899414,6.495251655578613,4.692923069000244,Retail Trade; Repair of Household Goods
2001,AUS,22,2.9225974082946777,3.4595887660980225,2.911684513092041,Hotels and Restaurants
2001,AUS,23,2.9841294288635254,3.6147568225860596,2.593214273452759,Inland Transport
2001,AUS,24,6.198445796966553,1.390087366104126,26.811006546020508,Maritime Transport
2001,AUS,25,4.8104023933410645,4.008730888366699,5.136805057525635,Air Transport
2001,AUS,26,3.7045583724975586,4.163712024688721,3.4076554775238037,Logistics and Travel Agencies
2001,AUS,27,4.352447986602783,4.44540548324585,3.999443292617798,Post and Telecommunications
2001,AUS,28,4.853464126586914,5.082190036773682,4.746629238128662,Financial Intermediation
2001,AUS,29,6.63242244720459,4.6849517822265625,10.260031700134277,Real Estate Activities
