MONTH,COUNTRY,GPR_SCORE
1912-09-01,ARG,0.0
1912-10-01,ARG,0.04153398796916008
1912-11-01,ARG,0.02788233570754528
1912-12-01,ARG,0.0
1913-01-01,ARG,0.04122577980160713
1913-02-01,ARG,0.04264392331242561
1913-03-01,ARG,0.012397718615829945
1913-04-01,ARG,0.0135171664878726
1913-05-01,ARG,0.01332090049982071
1913-06-01,ARG,0.0
1913-07-01,ARG,0.030385900288820267
1913-08-01,ARG,0.08718395978212357
1913-09-01,ARG,0.02913752943277359
1913-10-01,ARG,0.02789011225104332
1913-11-01,ARG,0.0
1913-12-01,ARG,0.026402641087770462
1914-01-01,ARG,0.0
1914-02-01,ARG,0.043377675116062164
1914-03-01,ARG,0.025591811165213585
1914-04-01,ARG,0.32912057638168335
1914-05-01,ARG,0.1794411689043045
1914-06-01,ARG,0.06869075447320938
1914-07-01,ARG,0.1786450445652008
1914-08-01,ARG,0.3182179927825928
1914-09-01,ARG,0.21585839986801147
1914-10-01,ARG,0.1190003976225853
1914-11-01,ARG,0.13150973618030548
1914-12-01,ARG,0.20177562534809113
1915-01-01,ARG,0.14546416699886322
1915-02-01,ARG,0.20627669990062714
1915-03-01,ARG,0.1468624770641327
1915-04-01,ARG,0.14678409695625305
1915-05-01,ARG,0.20478689670562744
1915-06-01,ARG,0.09631260484457016
1915-07-01,ARG,0.06843689829111099
1915-08-01,ARG,0.34597471356391907
1915-09-01,ARG,0.07170514762401581
1915-10-01,ARG,0.13810420036315918
1915-11-01,ARG,0.05396654084324837
1915-12-01,ARG,0.11655011773109436
1916-01-01,ARG,0.06218905374407768
1916-02-01,ARG,0.11878052353858948
1916-03-01,ARG,0.11450381577014923
1916-04-01,ARG,0.012578615918755531
1916-05-01,ARG,0.027008777484297752
1916-06-01,ARG,0.21718473732471466
1916-07-01,ARG,0.10748354345560074
1916-08-01,ARG,0.05966586992144585
1916-09-01,ARG,0.06178560480475426
1916-10-01,ARG,0.05582693591713905
1916-11-01,ARG,0.08807986229658127
1916-12-01,ARG,0.09948834776878357
1917-01-01,ARG,0.12782275676727295
1917-02-01,ARG,0.22241993248462677
1917-03-01,ARG,0.08251959830522537
1917-04-01,ARG,0.3848346769809723
1917-05-01,ARG,0.0969529077410698
1917-06-01,ARG,0.1179245263338089
1917-07-01,ARG,0.11974454671144485
1917-08-01,ARG,0.12690354883670807
1917-09-01,ARG,0.5474202632904053
1917-10-01,ARG,0.25589224696159363
1917-11-01,ARG,0.30344828963279724
1917-12-01,ARG,0.21686439216136932
1918-01-01,ARG,0.12310217320919037
1918-02-01,ARG,0.14534883201122284
1918-03-01,ARG,0.09926789999008179
1918-04-01,ARG,0.1397428661584854
1918-05-01,ARG,0.10636883229017258
1918-06-01,ARG,0.06473329663276672
1918-07-01,ARG,0.0845785140991211
1918-08-01,ARG,0.06416425853967667
1918-09-01,ARG,0.017205780372023582
1918-10-01,ARG,0.08742786943912506
1918-11-01,ARG,0.017636684700846672
1918-12-01,ARG,0.04749089851975441
1919-01-01,ARG,0.16219404339790344
1919-02-01,ARG,0.07859163731336594
1919-03-01,ARG,0.0974116325378418
1919-04-01,ARG,0.09262117743492126
1919-05-01,ARG,0.12066365033388138
1919-06-01,ARG,0.07334604859352112
1919-07-01,ARG,0.07646428793668747
1919-08-01,ARG,0.02976633422076702
1919-09-01,ARG,0.0
1919-10-01,ARG,0.05851374939084053
1919-11-01,ARG,0.09459246695041656
1919-12-01,ARG,0.07711289077997208
1920-01-01,ARG,0.028960324823856354
1920-02-01,ARG,0.0
1920-03-01,ARG,0.05841974541544914
1920-04-01,ARG,0.03125
1920-05-01,ARG,0.06166178360581398
1920-06-01,ARG,0.0466635562479496
1920-07-01,ARG,0.030964545905590057
1920-08-01,ARG,0.0
1920-09-01,ARG,0.016564518213272095
1920-10-01,ARG,0.05767844244837761
1920-11-01,ARG,0.029481131583452225
1920-12-01,ARG,0.1217038556933403
1921-01-01,ARG,0.04090537130832672
1921-02-01,ARG,0.031387317925691605
1921-03-01,ARG,0.04218816012144089
1921-04-01,ARG,0.041316624730825424
1921-05-01,ARG,0.05462988093495369
1921-06-01,ARG,0.0
1921-07-01,ARG,0.02650059573352337
1921-08-01,ARG,0.01362954918295145
1921-09-01,ARG,0.01471886970102787
1921-10-01,ARG,0.03647859767079353
1921-11-01,ARG,0.04890573397278786
1921-12-01,ARG,0.03644314780831337
1922-01-01,ARG,0.0
1922-02-01,ARG,0.0
1922-03-01,ARG,0.03558296710252762
1922-04-01,ARG,0.058726802468299866
1922-05-01,ARG,0.011735712178051472
1922-06-01,ARG,0.023977940902113914
1922-07-01,ARG,0.02518574520945549
1922-08-01,ARG,0.050037529319524765
1922-09-01,ARG,0.04188189283013344
1922-10-01,ARG,0.0
1922-11-01,ARG,0.0
1922-12-01,ARG,0.024521823972463608
1923-01-01,ARG,0.05959475412964821
1923-02-01,ARG,0.039416633546352386
1923-03-01,ARG,0.04996252804994583
1923-04-01,ARG,0.02405870333313942
1923-05-01,ARG,0.03847633674740791
1923-06-01,ARG,0.039195191115140915
1923-07-01,ARG,0.060886505991220474
1923-08-01,ARG,0.025380710139870644
1923-09-01,ARG,0.05554012954235077
1923-10-01,ARG,0.0
1923-11-01,ARG,0.03743916004896164
1923-12-01,ARG,0.0
1924-01-01,ARG,0.011222084984183311
1924-02-01,ARG,0.011978916823863983
1924-03-01,ARG,0.021092597395181656
1924-04-01,ARG,0.02193463407456875
1924-05-01,ARG,0.054188795387744904
1924-06-01,ARG,0.0
1924-07-01,ARG,0.34994569420814514
1924-08-01,ARG,0.011504831723868847
1924-09-01,ARG,0.03614022582769394
1924-10-01,ARG,0.01137526985257864
1924-11-01,ARG,0.011199462227523327
1924-12-01,ARG,0.011299435049295425
1925-01-01,ARG,0.04459308832883835
1925-02-01,ARG,0.03518236055970192
1925-03-01,ARG,0.010519672185182571
1925-04-01,ARG,0.03254501894116402
1925-05-01,ARG,0.0
1925-06-01,ARG,0.03563368692994118
1925-07-01,ARG,0.011746739968657494
1925-08-01,ARG,0.033666256815195084
1925-09-01,ARG,0.011723329313099384
1925-10-01,ARG,0.011478420346975327
1925-11-01,ARG,0.010715816169977188
1925-12-01,ARG,0.011100010946393013
1926-01-01,ARG,0.0
1926-02-01,ARG,0.02322610653936863
1926-03-01,ARG,0.0
1926-04-01,ARG,0.02147766388952732
1926-05-01,ARG,0.07062146812677383
1926-06-01,ARG,0.022182786837220192
1926-07-01,ARG,0.022885913029313087
1926-08-01,ARG,0.0
1926-09-01,ARG,0.01075500063598156
1926-10-01,ARG,0.0
1926-11-01,ARG,0.010074551217257977
1926-12-01,ARG,0.029949085786938667
1927-01-01,ARG,0.03915426880121231
1927-02-01,ARG,0.021233676001429558
1927-03-01,ARG,0.009581297636032104
1927-04-01,ARG,0.0
1927-05-01,ARG,0.018672393634915352
1927-06-01,ARG,0.009981036186218262
1927-07-01,ARG,0.0
1927-08-01,ARG,0.029961051419377327
1927-09-01,ARG,0.01919754222035408
1927-10-01,ARG,0.035958290100097656
1927-11-01,ARG,0.018905378878116608
1927-12-01,ARG,0.009373827837407589
1928-01-01,ARG,0.05188964679837227
1928-02-01,ARG,0.0379146933555603
1928-03-01,ARG,0.03537631407380104
1928-04-01,ARG,0.01773049682378769
1928-05-01,ARG,0.05430847033858299
1928-06-01,ARG,0.02772899530827999
1928-07-01,ARG,0.00959048606455326
1928-08-01,ARG,0.009876543655991554
1928-09-01,ARG,0.05583992600440979
1928-10-01,ARG,0.027168991044163704
1928-11-01,ARG,0.04701899737119675
1928-12-01,ARG,0.36994627118110657
1929-01-01,ARG,0.0448591411113739
1929-02-01,ARG,0.04933885857462883
1929-03-01,ARG,0.0168819110840559
1929-04-01,ARG,0.03626144677400589
1929-05-01,ARG,0.018370533362030983
1929-06-01,ARG,0.018330125138163567
1929-07-01,ARG,0.047628119587898254
1929-08-01,ARG,0.009306654334068298
1929-09-01,ARG,0.044762756675481796
1929-10-01,ARG,0.017908308655023575
1929-11-01,ARG,0.02677854150533676
1929-12-01,ARG,0.0
1930-01-01,ARG,0.018060320988297462
1930-02-01,ARG,0.0
1930-03-01,ARG,0.0166099164634943
1930-04-01,ARG,0.036019809544086456
1930-05-01,ARG,0.0448913611471653
1930-06-01,ARG,0.11156563460826874
1930-07-01,ARG,0.00977899506688118
1930-08-01,ARG,0.13736264407634735
1930-09-01,ARG,0.23483365774154663
1930-10-01,ARG,0.31042128801345825
1930-11-01,ARG,0.04338771104812622
1930-12-01,ARG,0.03711608052253723
1931-01-01,ARG,0.03504161164164543
1931-02-01,ARG,0.059119123965501785
1931-03-01,ARG,0.04219765216112137
1931-04-01,ARG,0.04459109902381897
1931-05-01,ARG,0.024977104738354683
1931-06-01,ARG,0.02760397456586361
1931-07-01,ARG,0.05488976463675499
1931-08-01,ARG,0.027387255802750587
1931-09-01,ARG,0.05655042454600334
