MONTH,COUNTRY,GPR_SCORE
1985-01-01,ARG,0.09495856612920761
1985-02-01,ARG,0.02772899530827999
1985-03-01,ARG,0.0813603475689888
1985-04-01,ARG,0.031210986897349358
1985-05-01,ARG,0.07219695299863815
1985-06-01,ARG,0.023082248866558075
1985-07-01,ARG,0.02552757039666176
1985-08-01,ARG,0.050331346690654755
1985-09-01,ARG,0.0396951399743557
1985-10-01,ARG,0.05970149114727974
1985-11-01,ARG,0.04689331725239754
1985-12-01,ARG,0.03152088075876236
1986-01-01,ARG,0.06628552824258804
1986-02-01,ARG,0.07224128395318985
1986-03-01,ARG,0.05723162367939949
1986-04-01,ARG,0.04979666322469711
1986-05-01,ARG,0.049015603959560394
1986-06-01,ARG,0.03272786736488342
1986-07-01,ARG,0.04290740564465523
1986-08-01,ARG,0.06666111201047897
1986-09-01,ARG,0.03282724693417549
1986-10-01,ARG,0.05319957435131073
1986-11-01,ARG,0.07952918857336044
1986-12-01,ARG,0.05625201016664505
1987-01-01,ARG,0.02573174610733986
1987-02-01,ARG,0.034394990652799606
1987-03-01,ARG,0.036650173366069794
1987-04-01,ARG,0.13326381146907806
1987-05-01,ARG,0.040218327194452286
1987-06-01,ARG,0.017729448154568672
1987-07-01,ARG,0.04143482819199562
1987-08-01,ARG,0.04206225275993347
1987-09-01,ARG,0.06345544010400772
1987-10-01,ARG,0.038438305258750916
1987-11-01,ARG,0.03419777750968933
1987-12-01,ARG,0.028454359620809555
1988-01-01,ARG,0.04610685259103775
1988-02-01,ARG,0.02918344736099243
1988-03-01,ARG,0.02167551778256893
1988-04-01,ARG,0.03467205911874771
1988-05-01,ARG,0.033169329166412354
1988-06-01,ARG,0.03946997597813606
1988-07-01,ARG,0.036005761474370956
1988-08-01,ARG,0.0234521571546793
1988-09-01,ARG,0.027782408520579338
1988-10-01,ARG,0.03845731168985367
1988-11-01,ARG,0.017389288172125816
1988-12-01,ARG,0.09038016200065613
1989-01-01,ARG,0.07292694598436356
1989-02-01,ARG,0.07427006214857101
1989-03-01,ARG,0.028208743780851364
1989-04-01,ARG,0.04220299795269966
1989-05-01,ARG,0.07899879664182663
1989-06-01,ARG,0.020996052771806717
1989-07-01,ARG,0.01780785247683525
1989-08-01,ARG,0.03893238678574562
1989-09-01,ARG,0.02127568982541561
1989-10-01,ARG,0.023741690441966057
1989-11-01,ARG,0.01233806274831295
1989-12-01,ARG,0.020736562088131905
1990-01-01,ARG,0.016387397423386574
1990-02-01,ARG,0.013394651003181934
1990-03-01,ARG,0.023302780464291573
1990-04-01,ARG,0.03276003152132034
1990-05-01,ARG,0.01190665178000927
1990-06-01,ARG,0.012447616085410118
1990-07-01,ARG,0.02957579866051674
1990-08-01,ARG,0.09922275692224503
1990-09-01,ARG,0.062274254858493805
1990-10-01,ARG,0.027357643470168114
1990-11-01,ARG,0.036284469068050385
1990-12-01,ARG,0.12952809035778046
1991-01-01,ARG,0.05271909013390541
1991-02-01,ARG,0.05359535664319992
1991-03-01,ARG,0.02046663872897625
1991-04-01,ARG,0.004016709513962269
1991-05-01,ARG,0.018734309822320938
1991-06-01,ARG,0.0158761665225029
1991-07-01,ARG,0.020662864670157433
1991-08-01,ARG,0.028435634449124336
1991-09-01,ARG,0.01985151134431362
1991-10-01,ARG,0.040129873901605606
1991-11-01,ARG,0.03473160043358803
1991-12-01,ARG,0.03165934607386589
1992-01-01,ARG,0.057328492403030396
1992-02-01,ARG,0.06321612000465393
1992-03-01,ARG,0.07299269735813141
1992-04-01,ARG,0.04908623918890953
1992-05-01,ARG,0.037183016538619995
1992-06-01,ARG,0.026955215260386467
1992-07-01,ARG,0.01513718068599701
1992-08-01,ARG,0.011624302715063095
1992-09-01,ARG,0.01919238455593586
1992-10-01,ARG,0.01793915033340454
1992-11-01,ARG,0.042113322764635086
1992-12-01,ARG,0.008058342151343822
1993-01-01,ARG,0.05031085014343262
1993-02-01,ARG,0.037635017186403275
1993-03-01,ARG,0.030576884746551514
1993-04-01,ARG,0.020805880427360535
1993-05-01,ARG,0.030879022553563118
1993-06-01,ARG,0.013813108205795288
1993-07-01,ARG,0.024967007339000702
1993-08-01,ARG,0.018530186265707016
1993-09-01,ARG,0.013965505175292492
1993-10-01,ARG,0.06123698875308037
1993-11-01,ARG,0.030452730134129524
1993-12-01,ARG,0.010557804256677628
1994-01-01,ARG,0.013665402308106422
1994-02-01,ARG,0.025614753365516663
1994-03-01,ARG,0.026512013748288155
1994-04-01,ARG,0.017376193776726723
1994-05-01,ARG,0.04681647941470146
1994-06-01,ARG,0.07144801318645477
1994-07-01,ARG,0.1941545605659485
1994-08-01,ARG,0.17100106179714203
1994-09-01,ARG,0.09808895736932755
1994-10-01,ARG,0.035889070481061935
1994-11-01,ARG,0.04191700369119644
1994-12-01,ARG,0.02834768407046795
1995-01-01,ARG,0.047788847237825394
1995-02-01,ARG,0.09590792655944824
1995-03-01,ARG,0.045878034085035324
1995-04-01,ARG,0.06267280876636505
1995-05-01,ARG,0.05814587324857712
1995-06-01,ARG,0.018478140234947205
1995-07-01,ARG,0.02729576826095581
1995-08-01,ARG,0.011734334751963615
1995-09-01,ARG,0.011360193602740765
1995-10-01,ARG,0.012859668582677841
1995-11-01,ARG,0.02987973392009735
1995-12-01,ARG,0.003979307599365711
1996-01-01,ARG,0.015199878253042698
1996-02-01,ARG,0.019902082160115242
1996-03-01,ARG,0.01101604662835598
1996-04-01,ARG,0.01597699336707592
1996-05-01,ARG,0.03294169157743454
1996-06-01,ARG,0.01393097173422575
