Year,Actor1CountryCode,Actor2CountryCode,sentiment_index
2006,ARE,AUS,0.5485048009240325
2006,ARE,CHE,0.7030759092831119
2006,ARE,CHN,0.61974864898235
2006,ARE,DEU,0.6924005094088733
2006,ARE,FRA,0.5981568029310135
2006,ARE,IDN,0.7103956155432034
2006,ARE,IND,0.5465421293303772
2006,ARE,JPN,0.6313863178048216
2006,ARE,KOR,0.690569030918234
2006,ARE,MYS,0.6717369798453762
2006,ARE,PHL,0.6078819164142397
2006,ARE,SGP,0.6514498211314171
2006,ARE,THA,0.6603696549402058
2006,ARE,USA,0.6871302558956215
2006,AUS,ARE,0.7161845479297859
2006,AUS,CHE,0.6500883371391
2006,AUS,CHN,0.7036084153571494
2006,AUS,DEU,0.6581247750762543
2006,AUS,FRA,0.6888917895711076
2006,AUS,HKG,0.7356083404067972
2006,AUS,IDN,0.6673962463719008
2006,AUS,IND,0.6796147067437701
2006,AUS,JPN,0.6618703609703996
2006,AUS,KOR,0.6848878375633605
2006,AUS,MYS,0.6783884754803501
2006,AUS,NLD,0.6924307605400406
2006,AUS,PHL,0.6306794105071618
2006,AUS,SGP,0.6855430919120674
2006,AUS,THA,0.6395830409092575
2006,AUS,USA,0.6714580880275454
2006,AUS,VNM,0.6679168936783304
2006,CHE,ARE,0.6331115177038928
2006,CHE,AUS,0.6393338113405517
2006,CHE,CHN,0.7227017490664968
2006,CHE,DEU,0.6427596737003097
2006,CHE,FRA,0.6783060375401947
2006,CHE,IDN,0.6573353473648478
2006,CHE,IND,0.6808140475362349
2006,CHE,JPN,0.695235772873281
2006,CHE,KOR,0.671888431980086
2006,CHE,MYS,0.7544031289048245
2006,CHE,NLD,0.6842544007674743
2006,CHE,PHL,0.6701504291452729
2006,CHE,SGP,0.7310046974834514
2006,CHE,THA,0.5780290491510615
2006,CHE,USA,0.6666822066534651
2006,CHE,VNM,0.6975044027152296
2006,CHN,ARE,0.6128743026915271
2006,CHN,AUS,0.7033527133148507
2006,CHN,CHE,0.7042582035526863
2006,CHN,DEU,0.6798682040237444
2006,CHN,FRA,0.6830886422153325
2006,CHN,HKG,0.6626725413886747
2006,CHN,IDN,0.6955437091013281
2006,CHN,IND,0.689877714654908
2006,CHN,JPN,0.6702548779877209
2006,CHN,KOR,0.6835231769909371
2006,CHN,MYS,0.7227141123411469
2006,CHN,NLD,0.6155955897914781
2006,CHN,PHL,0.6846765480650838
2006,CHN,SGP,0.7364415749844087
2006,CHN,THA,0.7028702177293785
2006,CHN,USA,0.6932754238500485
2006,CHN,VNM,0.7180446848051134
2006,DEU,ARE,0.6857689456048889
2006,DEU,AUS,0.6657355408214323
2006,DEU,CHE,0.6687417760816446
2006,DEU,CHN,0.6736342903650765
2006,DEU,FRA,0.6593086885139627
2006,DEU,IDN,0.6524975765321298
2006,DEU,IND,0.6302026954806694
2006,DEU,JPN,0.6655239960194584
2006,DEU,KOR,0.6060281009297585
2006,DEU,MYS,0.6159556215609077
2006,DEU,NLD,0.6958293150300756
2006,DEU,PHL,0.6569983494158448
2006,DEU,SGP,0.7069076524704062
2006,DEU,THA,0.6718063406508461
2006,DEU,USA,0.670631012824935
2006,DEU,VNM,0.7773838980946097
2006,FRA,ARE,0.6656944287659673
2006,FRA,AUS,0.6756493594279311
2006,FRA,CHE,0.6710156558311647
2006,FRA,CHN,0.6790739175799425
2006,FRA,DEU,0.6611244316612894
2006,FRA,IDN,0.7006475355414872
2006,FRA,IND,0.6621714024537273
2006,FRA,JPN,0.6932443751176487
2006,FRA,KOR,0.6335667199971068
2006,FRA,MYS,0.6789515869813294
2006,FRA,NLD,0.6653300085458327
2006,FRA,PHL,0.6053134775581538
2006,FRA,SGP,0.6720046099378529
2006,FRA,THA,0.6662404886736338
2006,FRA,USA,0.6739330433844952
2006,FRA,VNM,0.66146875981716
2006,HKG,CHN,0.7085108357013223
2006,HKG,KOR,0.6896695132024067
2006,HKG,USA,0.6643057907595609
2006,IDN,AUS,0.6616325710671888
2006,IDN,CHE,0.6505926025441184
2006,IDN,CHN,0.7236210665446516
2006,IDN,DEU,0.5532821318051553
2006,IDN,FRA,0.6886202288316232
2006,IDN,IND,0.6181292641669242
2006,IDN,JPN,0.6710319751841605
2006,IDN,KOR,0.6816659527564553
2006,IDN,MYS,0.6347371701557636
2006,IDN,NLD,0.6217284391543536
2006,IDN,PHL,0.6346631829462435
2006,IDN,SGP,0.6929870709406667
2006,IDN,THA,0.6416166377317987
2006,IDN,USA,0.6535480873905894
2006,IDN,VNM,0.6737228833228385
2006,IND,ARE,0.7212017012009158
2006,IND,AUS,0.6620564122028267
2006,IND,CHE,0.6806149969288054
2006,IND,CHN,0.6907543685283017
2006,IND,DEU,0.6677818874987291
2006,IND,FRA,0.6775177044062531
2006,IND,IDN,0.669615953251693
2006,IND,JPN,0.6686796337752957
2006,IND,KOR,0.6542830273511061
2006,IND,MYS,0.672519874436183
2006,IND,NLD,0.6538756676239217
2006,IND,PHL,0.6493217304884369
2006,IND,SGP,0.6542302142260968
2006,IND,THA,0.6924317180180337
2006,IND,USA,0.6817384101640385
2006,IND,VNM,0.7163076499060401
2006,JPN,ARE,0.6974550114124041
2006,JPN,AUS,0.6534035666819372
2006,JPN,CHE,0.6717528121209072
2006,JPN,CHN,0.6659079171638922
2006,JPN,DEU,0.664982347775525
2006,JPN,FRA,0.6598876236945225
2006,JPN,HKG,0.6540731205729002
2006,JPN,IDN,0.6721590933929857
2006,JPN,IND,0.6816114074879598
2006,JPN,KOR,0.6544157072763056
2006,JPN,MYS,0.6554300861057095
