iso3a,iso3b,year,exportsallgoodatob_alldata,importsallgoodafromb_alldata,totaltradeawithb,totaltradeabgdpb,fbic,dependence,tradeagreementindex,maritime_connectivity,sentiment_index,bec_1_prop,bec_2_prop,bec_3_prop,bec_4_prop,bec_5_prop,bec_6_prop,bec_7_prop,bec_8_prop
MYS,IDN,2013,10184728576.0,10346611712.0,20531341312.0,2.8011675,0.10673376,0.16081274,14,0.4,0.529449726484058,0.1724677130280482,0.4508371642583876,0.1523686384987844,0.0280245269891247,0.0836128775401805,0.048170278971986,0.0339937898294505,0.03052501088403814
MYS,IDN,2014,9231752192.0,9271025664.0,18502776832.0,2.4040396,0.1039152,0.16042586,14,0.4,0.5227383602900948,0.1824080162935447,0.459368835538974,0.1538742903912728,0.0267506535699425,0.0682105392055967,0.045799878656497,0.0343906477509648,0.029197138593207494
MYS,IDN,2015,7098893312.0,7278919680.0,14377812992.0,1.7812308,0.095161282,0.1532363,14,0.4,0.3631034319961449,0.2210805118614024,0.4000091866182022,0.1518263624748072,0.0329034367491673,0.0700571031499717,0.0501428041995221,0.0386803513983716,0.03530024354855554
MYS,IDN,2016,6267967488.0,1547954944.0,7815922176.0,0.92189449,0.077811442,0.13338505,14,0.4,0.3542302119285616,0.2045151412385844,0.389945545300967,0.1581703294301427,0.0373318379578159,0.0846876195459674,0.05050681566573,0.0417289770002447,0.033113733860547945
MYS,IDN,2017,7447601664.0,7790125056.0,15237727232.0,1.71058,0.071108013,0.12709939,14,0.4,0.3634478111335295,0.1823621942645451,0.4554075286566867,0.1461793547317726,0.0316805211585515,0.0790950028863476,0.0469784128544414,0.0363901579636309,0.021906827484024283
MYS,IDN,2018,7088656384.0,5714161152.0,12802817024.0,1.3665298,0.066181548,0.12059793,14,0.4,0.37902510688011,0.1748602083207074,0.4395256524720185,0.1454590967069811,0.0309891087446992,0.1035346178072733,0.0477833018642987,0.0369995099082471,0.020848504175774663
MYS,IDN,2019,6548402688.0,7873022464.0,14421425152.0,1.4657265,0.072279289,0.13010968,14,0.4,0.3450901037931496,0.168414854829818,0.4176766790129083,0.1355819163433887,0.0305799539092533,0.1383156558668101,0.0446630048468227,0.0367811231396608,0.02798681205133824
MYS,IDN,2020,6120233984.0,7073645568.0,13193879552.0,1.3692411,0.07033401,0.12639217,14,0.4,0.3771951848903512,0.1881760638382647,0.3985402939811203,0.1179468203164356,0.0304367185418594,0.1612994374704592,0.0443407150571614,0.0329413247383873,0.02631862605631219
MYS,IDN,2021,7845763584.0,9965369344.0,17811132416.0,1.7614433,0.073986366,0.13215339,14,0.4,0.4088324607629986,0.1718857356125848,0.5012186126483674,0.1303231221529102,0.0253019075566713,0.0981455491120892,0.0327485524662107,0.0245189796163903,0.015857540834776196
MYS,IDN,2022,9776749568.0,11947603968.0,21724354560.0,2.0401306,0.077726431,0.13805693,14,0.4,0.4126717483428999,0.1612402390312001,0.5517237960737776,0.1098603410162578,0.0186574504429079,0.0891608636910999,0.0363648844100527,0.0266041621774425,0.006388263157261487
